collection||Hisn al-Muslim
hadith|130|<text>Allāhu Akbar, Allāhu a`azzu min khalqihi jamī`a, Allāhu a`azzu mimmā akhāfu wa aḥdhar, a`ūdhu billāhi ‘l-ladhī lā ilāha illā hū, almumsikis-samāwātis-sab`i an yaqa`na `ala ‘l-arḍi illā bi idhnih, min sharri `abdika [name of the person], wa junūdihi wa atbā`ihi wa ashyā`ih, mina ‘l-jinni wa ‘l-ins, Allāhumma kun lī jāran min sharrihim, jalla thanā'uk, wa `azza jāruk, wa tabāraka-smuk, wa lā ilāha ghayruk.\n\nAllah is the Most Great, Mightier than all His creation. He is Mightier than what I fear and dread. I seek refuge in Allah, Who there is none worthy of worship but Him. He is the One Who holds the seven heavens from falling upon the earth except by His command. [I seek refuge in You Allah] from the evil of Your slave [name of the person], and his helpers, his followers, and his supporters from among the jinn and mankind. O Allah, be my support against their evil. Glorious are Your praises and mighty is Your patronage. Blessed is Your Name, there is no true God but You. (Recite three times in Arabic.)\n\nReference:\n\nAl-Bukhari, 5/172.</text>
chapter||Against enemies
hadith|131|<text>Allāhumma munzila ‘l-kitāb, sarī`a ‘l-ḥisāb, ihzimi ‘l-aḥzāb, Allāhumma-hzimhum wa zalzilhum.\n\nO Allah, Revealer of the Book, Swift to account, defeat the groups (of disbelievers). O Allah, defeat them and shake them.\n\nReference:\n\nMuslim 3/1362.</text>
chapter||When being afraid of a group of people
hadith|132|<text>Allāhummak-finīhim bimā shi't.\n\nO Allah, suffice (i.e. protect) me against them however You wish.\n\nReference:\n\nMuslim 4/2300.</text>
chapter||For one afflicted with doubt in his faith
hadith|133|<text>A`ūdhu billāh\n\n(Say:) I seek refuge in Allah. (Then you should desist from doing what you are in doubt about.)\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/336, Muslim 1/120.</text>
hadith|134|<text>Āmantu billāhi wa Rusulih.\n\n(Say:) I believe in Allah and His Messengers.\n\nReference:\n\nMuslim, 1/119-20.</text>
hadith|135|<text>Huwa ‘l-Awwalu wa ‘l-Ākhir, waẓ-Ẓāhiru wal-Bāṭin, wa huwa bikulli shay'in `Alīm.\n\n(Recite the Ayat) He is the First and the Last, the Most High and the Most Near. And He is the Knower of all things (in Arabic).\n\nReference:\n\nAl-Hadid 57:3, Abu Dawud 4/329. Al-Albani graded it good in SahihAbu Dawud, 3/962.</text>
chapter||Settling a debt
hadith|136|<text>Allāhummak-finī biḥalālika `an ḥarāmik, wa 'aghninī bi faḍlika `amman siwāk.\n\nO Allah, suffice me with what You have allowed instead of what You have forbidden, and make me independent of all others besides You.\n\nReference:\n\nAt-Tirmidhi 5/560. See also Al-Albani, Sahih At-Tirmidhi 3/180.</text>
hadith|137|<text>Allāhumma innī a`ūdhu bika mina ‘l-ḥammi wa ‘l-ḥazan, wa ‘l-`ajzi wa ‘l-kasal, wa ‘l-bukhli wa ‘l-jubn, wa ḍala`id-dayni wa ghalabatir-rijāl.\n\nO Allah! I seek refuge with You from worry and grief, from incapacity and laziness, from cowardice and miserliness, from being heavily in debt and from being overpowered by (other) men.\n\nReference:\n\nAl-Bukhari 7/158.</text>
chapter||For one afflicted by whisperings in prayer or recitation
hadith|138|<text>A`ūdhu billāhi minash-shayṭānir-rajīm.\n\n(Say:) I seek refuge in Allah from Satan the outcast (then blow with a little spittle to your left). (Do this three times reciting in Arabic.)\n\nReference:\n\nMuslim 4/1729.</text>
chapter||For one whose affairs have become difficult
hadith|139|<text>Allāhumma lā saḥla illā ma ja`altahu saḥla wa anta taj`alu ‘l-ḥazna idhā shi'ta saḥla.\n\nO Allah, there is no ease other than what You make easy. If You please You ease sorrow.\n\nReference:\n\nIbn Hibban in his Sahih (no. 2427), and Ibn As- Sunni (no. 351). Al-Hafidh (Ibn Hajar) said that this Hadith is authentic. It was also declared authentic by 'Abdul-Qadir Al-Arna'ut in his checking of An-Nawawi's Kitabul-Athkarp. 106.</text>
chapter||Upon committing a sin
hadith|140|<text>There is not any slave of Allah who commits a sin, then he perfects his purification and stands to pray two Rak'ahs of prayer, then seeks Allah's forgiveness, except that Allah will forgive him.\n\nReference:\n\nAbu Dawud 2/86, At-Tirmidhi 2/257. Al-Albani graded it authentic in Sahih Abu Dawud 1/283.</text>
chapter||For expelling the devil and his whisperings
hadith|141|<text>A`ūdhu billāhi minash-shayṭānir-rajīm.\n\nSeeking refuge with Allah against him (i.e. by saying I seek refuge in Allah from Satan the outcast).\n\nReference:\n\nAbu Dawud 1/206, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/77, and Surat Al-Mu'minun, 23:98-9.</text>
hadith|142|<text>--\n\nThe call to prayer - 'Athan.\n\nReference:\n\nMuslim 1/291, Al-Bukhari 1/151.</text>
hadith|143|<text>--\n\nSaying words of Allah's remembrance (Thikr) and recitation of the Qur'an.\n\nReference:\n\n"Do not turn your homes into graveyards, surely the Devil flees from the house in which Surat Al-Baqarah is read," Muslim 1/539. The Devil is also driven out by the invocations for morning and evening, those that are said before sleeping and upon waking up, those for entering and leaving the house, including those for entering and leaving the mosque, and by many other authentic invocations taught to us by the Prophet (ﷺ) such as the reading of 'Ayatul-Kursi, (Al-Baqarah 2:255), and the last two 'Ayat of Surat Al-Baqarah before going to sleep. Whoever says: "There is none worthy of worship but Allah alone, Who has no partner, His is the dominion and His is the praise, and he is Able to do all things," one hundred times, it will be a protection for him from the Devil throughout the day.'</text>
chapter||When stricken with a mishap or overtaken by an affair
hadith|144|<text>Qaddarallāhu wa mā shā'a fa`al.\n\nIt is the Decree of Allah and He does whatever He wills.\n\nReference:\n\n"The strong believer is better and more dear to Allah than the weak believer, and in each of them there is good. Be vigilant for what is to your benefit and seek the help of Allah and do not falter. But when you are striken by some setback, do not say: 'If only I had done such and such,' rather say: 'It is the Decree of Allah and He does whatever He wills.' For verily the saying 'if (i.e. if only I had) begins the work of the Devil." Muslim 4/2052.</text>
chapter||Congratulation on the occasion of a birth and its reply
hadith|145|<text>Bārakallāhu laka fi ‘l-mawhūbi lak, wa shakarta ‘l-wāhib, wa balagha ashuddah, wa ruziqta birrah. The reply of the person being congratulated is to say: Bārakallahu laka wa bāraka `alayk, wa jazākallāhu khayra, wa razaqakallāhu mithlah, wa ajzala thawābak.\n\nMay Allah bless you with His gift to you, and may you (the new parent) give thanks, may the child reach the maturity of years, and may you be granted its righteousness. The reply of the person being congratulated is to say: May Allah bless you, and shower His blessings upon you, and may Allah reward you well and bestow upon you its like and reward you abundantly\n\nReference:\n\nAn-Nawawi, Kitdbul-'Athkarp. 349, and Sahihul-'Athkar2/7l3 by Saleem Al-Hilali.</text>
chapter||Placing childen under Allah&#146;s protection
hadith|146|<text>The Prophet (ﷺ) used to seek Allah's protection for Al-Hasan and Al-Husain by saying: U`īthukumā bikalimāti ‘llāhit-tāmmati min kulli shayṭānin wa hāmmah, wa min kulli `aynin lāmmah\n\nI seek protection for you in the Perfect Words of Allah from every devil and every beast, and from every envious blameworthy eye.\n\nReference:\n\nAl-Bukhari4/119.</text>
chapter||When visiting the sick
hadith|147|<text>Lā ba'sa ṭahūrun in shā Allāh.\n\nDo not worry, it will be a purification (for you), Allah willing.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani Fathul-Bari 10/118.</text>
hadith|148|<text>As'alullāha ‘l-`Aẓīma Rabba ‘l-`Arshil-`Aẓīmi an yashfiyak.\n\nI ask Almighty Allah, Lord of the Magnificent Throne, to make you well. (Recite seven times in Arabic .)\n\nReference:\n\nAt-Tirmidhi, Abu Dawud. See also Al-Albani, Sahih At-Tirmidhi 2/210 and Sahihul-Jami' As-Saghir 5/180.</text>
chapter||Excellence of visiting the sick
hadith|149|<text>When a man goes to visit his sick Muslim brother, he walks along a path of Paradise until he sits, and when he sits he is cloaked in mercy. If he comes in the morning, seventy thousand angels pray for him until evening, and if he comes in the evening, seventy thousand angels pray for him until morning.</text>
chapter||When the sick have renounced all hope of life
hadith|150|<text>Allāhumma’ghfir lī warḥamnī wa alḥiqnī bir-rafīqi ‘l-'A`alā.\n\nO Allah, forgive me and have mercy upon me, and join me with the highest companions (in Paradise).\n\nReference:\n\nAl-Bukhari7/10, Muslim 4/1893.</text>
hadith|151|<text>As he was dying, the Prophet (ﷺ) dipped his hands in water and wiped his face saying: Lā ilāha illallāh inna li ‘lmawti la’sakarāt.\n\nThere is none worthy of worship but Allah, surely death has agonies.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 8/144. The Hadith also mention him using the Siivak (tooth stick).</text>
hadith|152|<text>Lā ilāha illallāh wallāhu Akbar, lā ilāha illallāhu waḥdah, lā ilāha illallāh waḥdahu lā sharīka lah, lā ilāha illallāh lahu ‘l-mulku wa lahu ‘l-ḥamd, lā ilāha illallāh wa lā ḥawla wa lā quwwata illā billāh.\n\nThere is none worthy of worship but Allah, Allah is the Most Great. None has the right to be worshipped but Allah alone. None has the right to be worshipped but Allah alone, Who has no partner. There is none worthy of worship but Allah, His is the dominion and His is the praise. There is none worthy of worship but Allah, there is no power and no might but by Allah.\n\nReference:\n\nAt-Tirmidhi and Ibn Majah. See also Al-Albani, Sahih At-Tirmidhi 3/152 and Sahih Ibn Majah 2/317.</text>
chapter||Instruction for the one nearing death
hadith|153|<text>Lā ilāha illallāh\n\nWhoever dies with the last words (whose meaning is): "There is none worthy of worship but Allah" will enter Paradise.\n\nReference:\n\nAbu Dawud 3/190. See also Al-Albani, Sahihul-Jami' As-Saghir 5/432.</text>
chapter||For one afflicted by a calamity
hadith|154|<text>Innā lillāhi wa innā ilayhi rāji`ūn, Allāhumma-jurni fī muṣībatī wa 'khluf lī khayran minhā.\n\nWe are from Allah and unto Him we return. O Allah take me out of my plight and bring to me after it something better.\n\nReference:\n\nMuslim 2/632.</text>
chapter||When closing the eyes of the deceased
hadith|155|<text>Allāhumma’ghfir li (name of the person) warfa` darajatahu fi ‘l-mahdiyyīn, wakhlufhu fī `aqibihi fi ‘l-ghābirīn, wagh’fir-lanā wa lahu yā Rabba ‘l-`ālamīn, wafsaḥ lahu fī qabrihi wa nawwir lahu fīh.\n\nO Allah, forgive [name of the person] and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave, and shed light upon him in it.\n\nReference:\n\nMuslim 2/634.</text>
chapter||For the deceased at the funeral prayer
hadith|156|<text>Allāhumma’ghfir lahu warḥamh, wa `āfihi, wa`fu `anh, wa akrim nuzulah, wa wassi` mudkhalah, wagh’silhu bi ‘lmā'i wath-thalji walbarad, wa naqqihi mina ‘l-khaṭāyā kamā naqqaytath-thawba ‘l-abyaḍa minad-danas, wa abdilhu dāran khayran min dārih, wa ahlan khayran min ahlih, wa zawjan khayran min zawjih, wa adkhilhu ‘l-jannah, wa a`idhhu min `adhābi ‘l-qabri [wa `adhābin-nār].\n\nO Allah, forgive him and have mercy on him, and give him strength and pardon him. Be generous to him, and cause his entrance to be wide, and wash him with water and snow and hail. Cleanse him of his transgressions as white cloth is cleansed of stains. Give him an abode better than his home, and a family better than his family, and a wife better than his wife. Take him into Paradise, and protect him from the punishment of the grave [and from the punishment of Hell-fire].\n\nReference:\n\nMuslim 2/663.</text>
hadith|157|<text>Allāhumma’ghfir liḥayyinā, wa mayyitinā, wa shāhidinā, wa ghā'ibinā, wa ṣaghīrinā wa kabīrinā, wa dhakarinā wa unthānā. Allāhumma man aḥyaytahu minnā fa aḥyihi `ala ‘l-Islām, wa man tawaffaytahu minnā fatawaffahu `alal-īmān, Allāhumma lā taḥrimnā ajrah wa lā tuḍillanā ba`dah.\n\nO Allah forgive our living and our dead, those who are with us and those who are absent, our young and our old, our menfolk and our womenfolk. O Allah, whomever you give life from among us give him life in Islam, and whomever you take away from us take him away in Faith. O Allah, do not forbid us their reward and do not send us astray after them.\n\nReference:\n\nIbn Majah 1/480, Ahmad 2/368. See also Al-Albani, Sahih Ibn Majah 1/251.</text>
hadith|158|<text>Allāhumma inna [name the person] fī dhimmatik, wa ḥabli jiwārik, faqihi min fitnati ‘l-qabri wa `adhābin-nār, wa anta ahlu ‘l-wafā'i wa ‘l-ḥaqq. Faghfir lahu warḥamh innaka anta ‘l-Ghafūrur-Raḥīm.\n\nO Allah, surely [name the person] is under Your protection, and in the rope of Your security, so save him from the trial of the grave and from the punishment of the Fire. You fulfill promises and grant rights, so forgive him and have mercy on him. Surely You are Most Forgiving, Most Merciful.\n\nReference:\n\nIbn Majah, Abu Dawud 3/211. See also Al Albani, Sahih Ibn Majah 1/251.</text>
hadith|159|<text>Allāhumma `abduka wabnu 'amatik iḥtāja ilā raḥmatik, wa anta ghaniyyun `an `adhābih, in kāna muḥsinan fazid fī ḥasanātih, wa in kāna musī'an fatajāwaz `anh.\n\nO Allah, Your male slave and the child of Your female slave is in need of Your mercy, and You are not in need of his torment. If he was pious then increase his rewards and if he was a transgressor then pardon him.\n\nReference:\n\nAl-Hakim 1/359 who graded it authentic and Ath-Thahabi agreed with him. See also Al-Albani, Ahkamul-Jana'iz, p. 125.</text>
chapter||When the deceased is a child, during the funeral prayer
hadith|160|<text>Allāhumma a`idh’hu min `adhābi ‘l-qabr [or say:] Allāhumma ‘j`alhu faraṭan wa dhukhran liwālidayh, wa shafī`an mujāban. Allāhumma thaqqil bihi mawāzīnahumā wa a`ẓim bihi ujūrahumā, wa alḥiqhu biṣāliḥi ‘l-mu'minīn, waj`alhu fī kafālati Ibrāhīm, wa qihi biraḥmatika `adhāba ‘l-jaḥīm, wa abdilhu dāran khayran min dārih, wa ahlan khayran min ahlih, Allāhumma’ghfir li aslāfinā wa afrāṭinā wa man sabaqanā bil īmān.\n\nO Allah, protect him from the torment of the grave. [It is also good to say:] O Allah, make him a precursor, a forerunner and a treasure for his parents and an answered intercessor. O Allah, make him weigh heavily in their scales (of good) and magnify their reward. Make him join the righteous of the believers. Place him in the care of Ibrahim. Save him by Your mercy from the torment of Hell. Give him a home better than his home, and a family better than his family. O Allah, forgive those who have gone (i.e. passed away) before us, our children lost (by death), and those who have preceded us in Faith.\n\nReference:\n\nIbn Qudamah, Al-Mughni 3/416 and Ad-Duroosul-Muhimmah li-Aammatil-'Ummah, pg. 15, by Shaikh 'Abdul-'Aziz bin Baz.</text>
hadith|161|<text>Allāhumma’j`alhu lanā faraṭan, wa salafan, wa ajra.\n\nO Allah, make him for us a precursor, a forerunner and a cause of reward.\n\nReference:\n\nAl-Hasan (Al-Basri) used to recite Surat Al-Fatihah for a child's funeral and then say this. Al-Bukhari, Kitabul-Jana'iz, p. 65.</text>
chapter||Condolence
hadith|162|<text>Inna lillāhi mā akhadh, wa lahu mā a`tā, wa kullu shay'in `indahu bi ajalin musammā . . . faltaṣbir wa ‘l-taḥtasib . [Also good to say:] A`ẓamallāhu ajrak, wa 'aḥsana `azā'ak, wa ghafara limayyitik.\n\nSurely, Allah takes what is His, and what He gives is His, and to all things He has appointed a time... so have patience and be rewarded.1 May Allah magnify your reward, and make perfect your bereavement, and forgive your departed.2\n\nReference:\n\n1 Al-Bukhari 2/80, Muslim 2/636. 2An-Nawawi, Kitabul-'Athkar, p. 126.</text>
chapter||Placing the deceased in the grave
hadith|163|<text>Bismillāh wa `alā sunnati Rasūlillāh.\n\nWith the Name of Allah, and according to the Sunnah of the Messenger of Allah.\n\nReference:\n\nAbu Dawud 3/314 with an authentic chain. Ahmad also recorded it with the wording: With the Name of Allah, and according to the religion of the Messenger of Allah. Its chain is also authentic.</text>
chapter||After burying the deceased
hadith|164|<text>Allāhumma’ghfir lah Allāhumma thabbit’h.\n\nO Allah, forgive him. O Allah, strengthen him.\n\nReference:\n\nThe Prophet (ﷺ) used to stop after burying the dead and say to the people: "Ask Allah to forgive your brother and pray for him to be strengthened, for indeed he is now being questioned." Abu Dawud 3/315, and Al-Hakim 1/370 who graded it authentic and Ath-Thahabi agreed.</text>
chapter||Visiting the graves
hadith|165|<text>Assalāmu `alaykum ahlad-diyāri minal-mu'minīna wa ‘l-muslimīn, wa innā in shā' Allāhu bikum lāḥiqūn nas'alullāha lanā wa lakumul-`āfiyah.\n\nPeace be upon you, people of this abode, from among the believers and those who are Muslims, and we, by the Will of Allah, shall be joining you. [May Allah have mercy on the first of us and the last of us] I ask Allah to grant us and you well-being.\n\nReference:\n\nMuslim 2/671, Ibn Majah 1/494, the portion brackets is from Muslim 2/671.</text>
chapter||During a wind storm
hadith|166|<text>Allāhumma innī as'aluka khayrahā, wa a`ūdhu bika min sharrihā.\n\nO Allah, I ask You for the good of it, and seek refuge in You against its evil.\n\nReference:\n\nAbu Dawud 4/326, Ibn Majah 2/1228. See also Al-Albani, Sahih Ibn Majah 2/305.</text>
hadith|167|<text>Allāhumma innī as'aluka khayrahā, wa khayra mā fīhā, wa khayra mā ursilat bih, wa a`ūdhu bika min sharrihā, wa sharri mā fīhā, wa sharri mā ursilat bih.\n\nO Allah, I ask You for the good of it, for the good of what it contains, and for the good of what is sent with it. I seek refuge in You from the evil of it, from the evil of what it contains, and from the evil that is sent with it.\n\nReference:\n\nMuslim 2/616, Al-Bukhari 4/76.</text>
chapter||Upon hearing thunder
hadith|168|<text>Subḥāna ‘l-ladhī yusabbiḥur-ra`du bi ḥamdihi wa ‘l-malā'ikatu min khīfatih.\n\nGlory is to Him Whom thunder and angels glorify due to fear of Him.\n\nReference:\n\nWhenever Abdullah bin Zubair (RA) would hear thunder, he would abandon all conversation and say this supplication. See Al-Muwatta' 2/992. It was graded authentic by Al-Albani as a statement of Abdullah bin Zubayr only.</text>
chapter||For rain
hadith|169|<text>Allāhumma ‘asqinā ghaythan mughīthan marī'an murī`a, nāfi`an ghayra ḍārr, `ājilan ghayra ājil.\n\nO Allah, shower upon us abundant rain, beneficial not harmful, swiftly and not delayed.\n\nReference:\n\nAbu Dawud 1/303. See also Al-Albani SahihAbu Dawud 1/216.</text>
hadith|170|<text>Allāhumma aghithnā, Allāhumma aghithnā, Allāhumma aghithnā.\n\nO Allah, send us rain. O Allah, send us rain. O Allah, send us rain.\n\nReference:\n\nAl-Bukhari 1/224, Muslim 2/613.</text>
hadith|171|<text>Allāhumma’sqi `ibādaka wa bahā'imak, wanshur raḥmatak, wa aḥyi baladaka ‘l-mayyit\n\nO Allah, give water to Your slaves, and Your livestock, and spread Your mercy, and revive Your dead land.\n\nReference:\n\nAbu Dawud 1/305. Al-Albani graded it good in Sahih Abu Dawud 1/218.</text>
chapter||When it rains
hadith|172|<text>Allāhumma ṣayyiban nāfi`a.\n\nO Allah, (bring) beneficial rain clouds.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/518.</text>
chapter||After rainfall
hadith|173|<text>Muṭirnā bifaḍlillāhi wa raḥmatih.\n\nWe have been given rain by the grace and mercy of Allah.\n\nReference:\n\nAl-Bukhari 1/205, Muslim 1/83.</text>
chapter||Asking for clear skies
hadith|174|<text>Allāhumma ḥawālaynā wa lā `alaynā. Allāhumma `ala ‘l-ākāmi waẓ-ẓirāb, wa buṭūni ‘l-awdiyati, wa manābitish-shajar.\n\nO Allah, let the rain fall around us and not upon us, O Allah, (let it fall) on the pastures, hills, valleys, and the roots of trees.\n\nReference:\n\nAl-Bukhari 1/224, Muslim 1/614</text>
chapter||Upon sighting the crescent moon
hadith|175|<text>Allāhu Akbar, Allāhumma ahillahu `alayna bi ‘l-amni wa ‘l-īmān, was-salāmati wa ‘l-'Islām, wat-tawfīqi limā tuḥibbu Rabbanā wa tarḍā, Rabbunā wa Rabbukallāh.\n\nAllah is the Most Great. O Allah, bring us the new moon with security and Faith, with peace and in Islam, and in harmony with what our Lord loves and what pleases Him. Our Lord and your Lord is Allah.\n\nReference:\n\nAt-Tirmidhi 5/504, Ad-Darimi 1/336. See also Al-Albani, Sahih At-Tirmidhi 3/157.</text>
chapter||Upon breaking fast
hadith|176|<text>Dhahabaẓ-ẓama', wabtallati ‘l-`urūq, wa thabata ‘l-'ajru in shā Allāh.\n\nThe thirst is gone, the veins are moistened, and the reward is confirmed, if Allah wills.\n\nReference:\n\nAbu Dawud 2/306 and others. See also Al- Albani, Sahihul-Jami' As-Saghir 4/209.</text>
hadith|177|<text>Allāhumma innī as'aluka bi raḥmatika ‘l-latī wasi`at kulla shay' an taghfira lī.\n\nO Allah, I ask You by Your mercy, which encompasses all things, that You forgive me.\n\nReference:\n\nIbn Majah 1/557 from a supplication of Abdullah bin 'Amr. Al-Hafidh graded it as good in his checking of An-Nawawi's Kitabul-'Athkdr. See Sharhul- Athkar 4/342.</text>
chapter||Before eating
hadith|178|<text>When anyone of you begins eating, say: Bismillāh. And if you forget then when you remember, say: Bismillāhi fī awwalihi wa ākhirih.\n\nWhen anyone of you begins eating, say: With the Name of Allah. And if you forget then, when you remember, say: With the Name of Allah, in the beginning, and in the end.\n\nReference:\n\nAbu Dawud 3/347, At-Tirmidhi 4/288. See Al- Albani's Sahih At-Tirmidhi 2/167.</text>
hadith|179|<text>Whomever Allah has given food, should say: Allāhumma bārik lanā fīhi, wa aṭ`imnā khayran minh. Whomever Allah has given milk to drink, should say : Allāhumma bārik lanā fīhi, wa zidnā minh.\n\nWhomever Allah has given food, should say: O Allah, bless us in it and provide us with better than it. Whomever Allah has given milk to drink, should say : O Allah, bless us in it and give us more of it.\n\nReference:\n\nAt-Tirmidhi 5/506. See also Al-Albani, Sahih At-Tirmidhi 3/158.</text>
chapter||Upon completing the meal
hadith|180|<text>Alhamdu lillāhi ‘l-ladhī aṭ`amanī hādhā, wa razaqanīhi min ghayri ḥawlin minnī wa lā quwwah.\n\nPraise is to Allah Who has given me this food, and sustained me with it though I was unable to do it and powerless.\n\nReference:\n\nAt-Tirmidhi, Abu Dawud, and Ibn Majah. See also Al-Albani, Sahih At-Tirmidhi 3/159.</text>
hadith|181|<text>Alhamdu lillāhi ḥamdan kathīran tayyiban mubārakan fīh, ghayra makfiyyin wa lā muwadda`in, wa lā mustaghnan `anhu Rabbanā.\n\nAll praise is to Allah, praise in abundance, good and blessed. It cannot [be compensated for, nor can it] be left, nor can it be done without, our Lord.\n\nReference:\n\nAl-Bukhari 6/214, At-Tirmidhi 5/507.</text>
chapter||Of the guest for the host
hadith|182|<text>Allāhumma bārik lahum fī mā razaqtahum, wagh’fir lahum warḥamhum.\n\nO Allah, bless them in what You have provided for them, and forgive them and have mercy on them.\n\nReference:\n\nMuslim 3/1615.</text>
chapter||To one who intends to give food or drink
hadith|183|<text>Allāhumma aṭ`im man aṭ`amanī wasqi man saqānī.\n\nO Allah, feed the one who has fed me, and give drink to the one who has given me drink.\n\nReference:\n\nMuslim 3/126.</text>
chapter||When breaking fast in someone&#146;s home
hadith|184|<text>Afṭara `indakumuṣ-ṣā'imūn, wa akala ṭa`āmakumu ‘l-'abrār, wa ṣallat `alaykumu ‘l-malā'ikah.\n\nWith you, those who are fasting have broken their fast, you have fed those who are righteous, and the angels recite their prayers upon you.\n\nReference:\n\nAbu Dawud 3/367, Ibn Majah 1/556, An-Nasa'i, 'Amalul-Yawm wal-Laylah 296-8. Al-Albani graded it authentic in Sahih Abu Dawud 2/730.</text>
chapter||By one fasting when presented with food and does not break his fast
hadith|185|<text>--\n\nWhen you are invited (to eat) then reply to the invitation. If you are fasting then invoke Allah's blessings (on your host), and if you are not fasting then eat.\n\nReference:\n\nMuslim 2/1054.</text>
chapter||When insulted while fasting
hadith|186|<text>Innī ṣā'im, innī ṣā'im.\n\nI am fasting. I am fasting.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-BAri 4/103, Muslim 2/806.</text>
chapter||Upon seeing the early or premature fruit
hadith|187|<text>Allahumma bārik lanā fī thamarinā, wa bārik lanā fī madīnatinā wa bārik lanā fī ṣā`inā, wa bārik lanā fī muddinā.\n\nO Allah, bless us in our dates and bless us in our town, bless us in our Sa' and in our Mudd.\n\nReference:\n\nMuslim 2/1000 (Sa' and Mudd are both dry measures used for agricultural produce by the Arabs in the Prophet's time. Of the two, the So.' was the larger measure.) (Translator)</text>
chapter||Upon sneezing
hadith|188|<text>When you sneeze , then say : Alḥamdulillāh Your companion should say : Yarḥamukallāh When someone says Yarḥamukallāh to you then you should say: Yahdīkumu ‘llāhu wa yuṣliḥu bālakum.\n\nWhen you sneeze, then say: All praises and thanks are to Allah. Your companion should say: May Allah have mercy upon you. When someone says Yarḥamukallāh to you then you should say: May Allah guide you and set your affairs in order.\n\nReference:\n\nAl-Bukhari 7/125.</text>
chapter||When a disbeliever praises Allah after sneezing
hadith|189|<text>Yahdīkumullāhu wa yuṣliḥu bālakum.\n\nMay Allah guide you and set your affairs in order\n\nReference:\n\nAt-Tirmidhi 5/82, Ahmad 4/400, Abu Dawud 4/ 308. See also Al-Albani, Sahih At-Tirmidhi 2/354.</text>
chapter||To the newlywed
hadith|190|<text>Bārakallāhu lak, wa bāraka `alayk, wa jama`a baynakumā fī khayr.\n\nMay Allah bless you, and shower His blessings upon you, and join you together in goodness.\n\nReference:\n\nAbu Dawud, Ibn Majah and At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 1/316.</text>
chapter||On the wedding night or when buying an animal
hadith|191|<text>When any of you marries a woman or purchases a maid-servant then let him say: Allāhumma innī as'aluka khayrahā wa khayra mā jabaltahā `alayh, wa a`ūdhu bika min sharrihā wa sharri mā jabaltahā `alayh.\n\nWhen any of you marries a woman or purchases a maid-servant then let him say : O Allah, I ask You for the goodness of her, and the goodness upon which You have created her, and I seek refuge in You from the evil of her, and from the evil upon which You have created her. If you purchase a camel then take hold of the top of its hump and say the same.\n\nReference:\n\nAbu Dawud 2/248 and Ibn Majah 1/617. See also Al-Albani, Sahih Ibn Majah 1/324.</text>
chapter||Before sexual intercourse with the wife
hadith|192|<text>Bismillāh. Allāhumma jannibnash-Shayṭān, wa jannibish-Shayṭāna mā razaqtanā.\n\nWith the Name of Allah. O Allah, keep the Devil away from us, and keep the Devil away from that which You provide for us.\n\nReference:\n\nAl-Bukhari 6/141, Muslim 2/1028.</text>
chapter||When angry
hadith|193|<text>A`ūdhu billāhi minash-Shayṭānir-rajīm.\n\nI seek refuge in Allah from Satan the outcast.\n\nReference:\n\nAl-Bukhari 7/99, Muslim 4/2015.</text>
chapter||Upon seeing someone in trial or tribulation
hadith|194|<text>Alhamdu lillāhi ‘l-ladhī `āfānī mimmab-talāka bihi wa faḍḍalanī `alā kathīrin mimman khalaqa tafḍīlā.\n\nPraise is to Allah Who has spared me what He has afflicted you with, and preferred me greatly above much of what He has created.\n\nReference:\n\nAt-Tirmidhi 5/493,4. See also Al-Albani, Sahih At-Tirmidhi 3/153.</text>
chapter||At a sitting or gathering
hadith|195|<text>Ibn Umar (ra) said: Allah's Messenger (ﷺ) used to repeat in a single sitting: Rabbigh’fir lī wa tub `alayy innaka antat-Tawwābu ‘l-Ghafūr.\n\nIbn Umar (ra) said: Allah's Messenger (ﷺ) used to repeat in a single sitting: My Lord, forgive me, and accept my repentance, You are the Ever-Relenting, the All-Forgiving.\n\nReference:\n\nSahih Ibn Majah 2/321. See also Al-Albani, Sahih At-Tirmidhi 3/153.</text>
chapter||For the expiation of sins, said at the conclusion of a sitting or gathering
