collection||المستدرك على الصحيحين
hadith|6688|أخبرنا الشيخ أبو بكر بن إسحاق الإمام أنبأ إسماعيل بن قتيبة ثنا محمد بن عبد الله بن نمير قال * وفيها مات السائب بن يزيد يعني سنة إحدى وتسعين
hadith|6689|حدثني علي بن حمشاد ثنا عبد الله بن أحمد بن حنبل حدثني محمد بن بكار ثنا أبو معشر عن يوسف بن يعقوب عن السائب بن يزيد رضي الله عنه قال * رأيت رسول الله صلى الله عليه وسلم أخرج عبد الله بن خطل من بين أستار الكعبة فقتله صبرا ثم قال لا يقتل أحد من قريش بعد هذا صبرا
book||319 ذكر أبي هاشم بن عتبة رضي الله عنه
hadith|6690|حدثني أبو بكر محمد بن أحمد بن بالويه ثنا إبراهيم بن إسحاق الحربي ثنا مصعب بن عبد الله الزبيري قال * أبو هاشم بن عتبة بن ربيعة بن عبد شمس بن عبد مناف أمه خناس بنت مالك بن المضرب بن حجر بن عبد بن معيص بن عامر بن لؤي وكان أعور فقئت عينه يوم اليرموك توفي أبو هاشم في زمن معاوية
hadith|6691|حدثنا أبو العباس محمد بن يعقوب أنبأ العباس بن الوليد بن مزيد ثنا محمد بن شعيب بن شابور حدثني خالد بن دهقان عن خالد بن سبلان عن كهيل بن حرملة قال * قدم أبو هريرة دمشق فنزل على أبي كلثوم السدوسي فأتيناه فتذاكرنا الصلاة الوسطى فاختلفنا فيه فقال أبو هريرة اختلفتم فيها كما اختلفنا فيها ونحن بقباء عند بيت رسول الله صلى الله عليه وسلم وفينا الرجل الصالح أبو هاشم بن عتبة بن ربيعة فقام فدخل على رسول الله صلى الله عليه وسلم وكان جريئا عليه ثم خرج إلينا فأخبرنا أنها العصر
hadith|6692|حدثنا عبد الرحمن بن حمدان الجلاب بهمدان ثنا عبد الله بن محمد بن سعيد المصري بمكة حرسها الله تعالى حدثنا محمد بن يوسف الفريابي ثنا سفيان عن منصور عن أبي وائل قال * دخل معاوية على أبي هاشم بن عتبة وهو يبكي فقال يا خال ما يبكيك أوجع أو حزن على الدنيا فقال كل لا ولكن عهد إلي رسول الله صلى الله عليه وسلم عهدا لم آخذ به قال لي يا أبا هاشم أنها ستدركك أموال يؤتاها أقوام
book||320 ذكر أبي العاص بن الربيع رضي الله عنه
hadith|6693|حدثني أبو بكر محمد بن أحمد بن بالويه ثنا إبراهيم بن إسحاق الحربي قال * أبو العاص بن الربيع زوج بنت رسول الله صلى الله عليه وسلم وبن خالتها أمه هالة بنت خويلد أخت خديجة واسم أبي العاص مهشم وكان يلقب بجرو البطحاء وولدت زينت بنت رسول الله صلى الله عليه وسلم لأبي العاص علي بن أبي العاص وأمامة بنت أبي العاص وتوفي أبو العاص سنة إحدى عشرة في خلافة أبي بكر رضي الله عنه
hadith|6694|حدثنا أبو العباس محمد بن يعقوب ثنا أبو زرعة الدمشقي ثنا أحمد بن خالد الوهبي ثنا محمد بن إسحاق عن داود بن الحصين عن عكرمة عن بن عباس رضي الله عنهما قال * رد رسول الله صلى الله عليه وسلم زينب على أبي العاص بالنكاح الأول ولم يحدث شيئا هذا إسناد صحيح على شرط مسلم وقد روي أن النبي صلى الله عليه وسلم ردها عليه بنكاح جديد
hadith|6695|حدثناه أبو بكر بن إسحاق حدثنا عبد الله بن أحمد بن حنبل حدثني أبي ثنا عبد الرزاق أخبرني حميد بن أبي رومان عن الحجاج بن أرطأة عن عمرو بن شعيب عن أبيه عن جده قال * أسلمت زينب بنت النبي صلى الله عليه وسلم قبل زوجها أبي العاص بسنة ثم أسلم أبو العاص فردها النبي صلى الله عليه وسلم بنكاح جديد
book||321 ذكر عبد الله بن عامر بن كريز رضي الله عنه
hadith|6696|حدثنا أبو زكريا يحيى بن محمد العنبري ثنا الحسن بن علي بن نصر ثنا الزبير بن بكار قال * عبد الله بن عامر بن كريز بن ربيعة بن حبيب بن عبد شمس بن عبد مناف وأمه دجاجة بنت أسماء بن الصلت بن حبيب بن جارية بن هلال بن حزام استعمله عثمان بن عفان على البصرة وعزل أبا موسى الأشعري فقال أبو موسى قد أتاكم فتى من قريش كريم الأمهات والعمات والخالات يقول بالمال فيكم هكذا وهكذا أو كان كثير المناقب وهو الذي افتتح خراسان وأحرم من نيسابور شكرا لله تعالى وعمل السقايات بعرفة
hadith|6697|حدثني أبو بكر بن بالويه ثنا إبراهيم بن إسحاق ثنا مصعب بن عبد الله حدثني أبي عن جدي مصعب بن ثابت بن عبد الله بن الزبير عن حنظلة بن قيس عن عبد الله بن عامر بن كريز وعبد الله بن الزبير رضي الله عنهما أن النبي صلى الله عليه وسلم قال * من قتل دون ماله فهو شهيد قال مصعب وذكر بهذا الإسناد أن عبد الله بن عامر بن كريز أتى به النبي صلى الله عليه وسلم وهو صغير فقال هذا شبهنا وجعل رسول الله صلى الله عليه وسلم يتفل عليه ويعوذه فجعل عبد الله يتسوغ ريق رسول الله صلى الله عليه وسلم فقال النبي صلى الله عليه وسلم إنه لمسقي فكان لا يعالج أرضا إلا ظهر له الماء وله النباح الذي يقال بنباح عامر وله الجحفة وله بستان بن عامر بنخلة على ليلة من مكة وله آبار في الأرض كثيرة وكان معاوية زوج عبد الله بن عامر ابنته هندا فكانت هند بنت معاوية أبر شيء بعبد الله بن عامر وأنها جاءته يوما بالمرآة والمشط وكانت تتولى خدمته بنفسها فنظر في المرآة فالتقى وجهه وجهها فرأى شبابها وجمالها ورأى الشيب في لحيته قد ألحقه بالشيوخ فرفع رأسه إليها فقال الحقي بأبيك فانطلقت حتى دخلت على أبيها فأخبرته فقال معاوية وهل تطلق الحرة فقالت ما أتى من قبلي فأخبرته خبرها فأرسل إليه معاوية فقال أكرمتك بابنتي ثم رددتها علي فقال أخبرك عن ذاك إن الله تبارك وتعالى من علي بفضله وجعلني كريما ولا أحب إلا كريما لا أحب أن يتفضل علي أحد وأن ابنتك أعجزتني بمكافأتها لحسن صحبتها فنظرت فإذا أنا شيخ وهي شابة لا أزيدها مالا ولا شرفا إلى شرفها فرأيت أن أردها إليك لتزوجها فتى من فتيانك كأن وجهه ورقة مصحف
book||322 ذكر هند وهالة ابني أبي هالة رضي الله عنهما
hadith|6698|حدثنا أبو العباس محمد بن يعقوب ثنا أحمد بن عبد الجبار ثنا يونس بن بكير عن بن إسحاق قال * هند بن أبي هالة بنت مالك أحد بني أسيد بن عمرو بن تميم حليف بني عبد الدار وهو بن خديجة
hadith|6699|أخبرنا أبو محمد المزني ثنا أبو خليفة ثنا محمد بن سلام ثنا أبو عبيدة قال أبو هالة زوج خديجة اسمه هند بن النباش بن زرارة وابناه هند وهالة شهد هند أحدا *
hadith|6700|حدثنا الشيخ أبو بكر بن إسحاق أنبأ علي بن عبد العزيز ثنا أبو غسان ثنا جميع بن عمر العجلي حدثني رجل عن أبي هالة التميمي عن الحسن بن علي رضي الله عنهما قال * سألت خالي هند بن أبي هالة التميمي وكان وصافا عن حلية رسول الله صلى الله عليه وسلم فذكر الحديث بطوله
hadith|6701|أخبرنا أبو جعفر البغدادي ثنا علي بن محمد بن عمرو بن تميم عن زيد بن هالة عن أبيه * أنه دخل على رسول الله صلى الله عليه وسلم وهو راقد فاستيقظ النبي صلى الله عليه وسلم وضم هالة إلى صدره وقال هالة هالة هالة كأنه صلى الله عليه وسلم سر به لقرابته من خديجة رضي الله عنها
book||323 ذكر عبد الله بن زمعة بن الأسود رضي الله تعالى عنه
hadith|6702|حدثني أبو بكر بن بالويه ثنا إبراهيم بن إسحاق الحربي ثنا مصعب بن عبد الله الزبيري قال * عبد الله بن زمعة بن الأسود بن المطلب بن أسد بن عبد العزى بن قصي وأمه قريبة بنت أبي أمية بن عبد الله بن عمر بن مخزوم وأمها عاتكة بنت المطلب
hadith|6703|حدثنا أبو العباس محمد بن يعقوب ثنا أحمد بن عبد الجبار ثنا يونس بن بكير عن بن إسحاق حدثني الزهري حدثني عبد الملك بن أبي بكر بن عبد الرحمن بن الحارث بن هشام عن أبيه عن عبد الله بن زمعة بن الأسود بن المطلب بن أسد قال * لما استعز برسول الله صلى الله عليه وسلم وأنا عنده في نفر من المسلمين دعا بلال إلى الصلاة فقال مروا من يصلي بالناس فخرجت فإذا عمر رضي الله عنه في الناس وكان أبو بكر رضي الله عنه غائبا فقلت يا عمر قم فصل بالناس فقام فلما كبر سمع رسول الله صلى الله عليه وسلم صوته وكان عمر رجلا جهيرا فقال رسول الله صلى الله عليه وسلم فأين أبو بكر يأبى الله والمسلمون ذلك فبعث إلى أبي بكر رضي الله عنه فجاء بعد أن صلى عمر تلك الصلاة فصلى بالناس قال عبد الله بن زمعة فقال عمر ويحك ماذا صنعت بي يا بن زمعة والله ما ظننت حين أمرتني إلا أن رسول الله صلى الله عليه وسلم أمر بذلك ولولا ذلك ما صليت بالناس قلت والله ما أمرني رسول الله صلى الله عليه وسلم ولكن حين لم أر أبا بكر رأيتك أحق من حضر بالصلاة بالناس هذا حديث صحيح على شرط مسلم ولم يخرجاه
book||324 ذكر أبي أمامة الباهلي رضي الله عنه
hadith|6704|أخبرنا أحمد بن يعقوب الثقفي ثنا موسى بن زكريا ثنا خليفة بن خياط قال أبو أمامة * صدي بن عجلان بن وهب بن عريب بن وهب بن رباح بن الحارث بن وهب بن معن بن مالك بن أعصر بن سعد بن قيس عيلان بن مضر نزل الشام قال خليفة نسبه عبد الملك بن قريب الأصمعي قال وباهلة هي امرأة معن بن مالك بن أعصر بن سعد بن قيس عيلان ولدها ينسبون إليها وهي باهلة بنت سعد العشيرة بن مالك بن أدد بن زيد بن يشجب بن يعرب بن قحطان قال شباب بن خياط ومات أبو أمامة سنة ست وثمانين
hadith|6705|حدثنا علي بن حمشاد العدل ثنا عبد الله بن أحمد بن حنبل حدثني عبد الله بن سلمة بن عباس العامري ثنا صدقة بن هرمز عن أبي غالب عن أبي أمامة رضي الله عنه قال * بعثني رسول الله إلى قومي أدعوهم إلى الله تبارك وتعالى وأعرض عليهم شرائع الإسلام فأتيتهم وقد سقوا إبلهم وأحلبوها وشربوا فلما رأوني قالوا مرحبا بالصدي بن عجلان ثم قالوا بلغنا إنك صبوت إلى هذا الرجل قلت لا ولكن آمنت بالله وبرسوله وبعثني رسول الله صلى الله عليه وسلم إليكم أعرض عليكم الإسلام وشرائعه فبينا نحن كذلك إذ جاؤوا بقصعة دم فوضعوها واجتمعوا عليها يأكلوها فقالوا هلم يا صدي فقلت ويحكم إنما أتيتكم من عند من يحرم هذا عليكم بما أنزله الله عليه قالوا وما ذاك قلت نزلت عليه هذه الآية حرمت عليكم الميتة والدم ولحم الخنزير إلى قوله إلا ما ذكيتم فجعلت أدعوهم إلى الإسلام ويأبون فقلت لهم ويحكم إيتوني بشيء من ماء فإني شديد العطش قالوا لا ولكن ندعك تموت عطشا قال فاعتممت وضربت رأسي في العمامة ونمت في الرمضاء في حر شديد فأتاني آت في منامي بقدح زجاج لم ير الناس أحسن منه وفيه شراب لم ير الناس ألذ منه فأمكنني منها فشربتها فحيث فرغت من شرابي استيقظت ولا والله ما عطشت ولا عرفت عطشا بعد تلك الشربة فسمعتهم يقولون أتاكم رجل من سراة قومكم فلم تمجعوه بمذقة فأتوني بمذيقتهم فقلت لا حاجة لي فيها إن الله تبارك وتعالى أطعمني وسقاني فأريتهم بطني فأسلموا عن آخرهم
book||325 ذكر معاوية بن حيدة القشيري رضي الله عنه
hadith|6706|أخبرني أحمد بن يعقوب ثنا موسى بن زكريا ثنا خليفة بن خياط قال * معاوية بن حيدة بن معاوية بن قشير بن كعب بن ربيعة بن عامر نسبه إلى عبد الله بن الجارود
hadith|6707|حدثنا أبو بكر بن أبي دارم الحافظ بالكوفة ثنا الحسن بن علي بن شبيب ثنا بشر بن آدم حدثني أزهر بن سعد ثنا بن عون عن بهز بن حكيم عن أبيه عن جده معاوية بن حيدة رضي الله تعالى عنه قال قلت * يا رسول الله من أبر قال أمك وذكر الحديث لم نكتبه من حديث بن عون عن بهز إلا عنه
book||326 ذكر مالك بن حيدة أخي معاوية رضي الله عنه
hadith|6708|حدثنا أبو بكر أحمد بن سلمان الفقيه ببغداد ثنا الحسن بن مكرم ثنا يحيى بن حماد ثنا حماد بن سلمة عن أبي قزعة عن حكيم بن معاوية بن حيدة عن أبيه * أنه قال لأخيه مالك بن حيدة انطلق بنا إلى رسول الله صلى الله عليه وسلم فإنه يعرفك ولا يعرفني فقد حبس ناسا من جيراني فأتيناه وقال مالك بن حيدة يا رسول الله إني قد أسلمت وأسلم جيراني فخل عنهم فلم يجبه ثم عاد فلم يجبه فقام متسخطا فقال لئن فعلت ذاك إنهم يزعمون إنك تدعو إلى الأمر وتخالف إلى غيره فجعلت أزجره وأنهاه فقال ما يقول قالوا إنه يقول كذا وكذا فقال إن فعلت ذاك فإن ذاك علي ما عليهم منه شيء دع له جيرانه
book||327 ذكر مخمر بن حيدة أخوهم الثالث رضي الله عنه
hadith|6709|حدثنا علي بن حمشاد العدل ثنا عبيد بن شريك ثنا أبو الجماهر ثنا سعيد بن بشير عن قتادة عن حكيم بن معاوية عن عمه مخمر بن حيدة قال قلت * يا رسول الله إني أغيب أشهرا عن الماء ومعي أهلي أفأصيب منهم قال نعم وإن غبت عشرين سنة بسم الله الرحمن الرحيم
book||328 تسمية أزواج رسول الله صلى الله عليه وسلم
hadith|6710|حدثنا أبو العباس محمد بن يعقوب ثنا أبو أمامة عبد الله بن أسامة الحلبي بحلب ثنا حجاج بن أبي منيع عن جده عبيد الله بن أبي زياد عن الزهري قال * تزوج رسول الله صلى الله عليه وسلم اثنتي عشرة امرأة عربيات محصنات تابعه عبد الله بن محمد بن عقيل على ذلك
hadith|6711|أخبرناه أبو بكر أحمد بن سليمان الفقيه ببغداد ثنا هلال بن العلاء الرقي ثنا أبي ثنا عبيد الله بن عمرو الرقي عن عبد الله بن محمد بن عقيل قال * تزوج رسول الله صلى الله عليه وسلم اثنتي عشرة امرأة قد خالفهما في ذلك قتادة بن دعامة وغيره من الأئمة أما قول قتادة فيه
hadith|6712|فحدثناه أبو عبد الله محمد بن نصر الإمام المروزي ثنا أبو الأشعث أحمد بن المقدام ثنا زهير بن العلاء ثنا سعيد بن أبي عروبة عن قتادة قال * تزوج رسول الله صلى الله عليه وسلم خمس عشرة امرأة ست منهم من قريش وواحدة من حلفاء قريش وسبعة من نساء العرب وواحدة من بني إسرائيل ولم يتزوج في الجاهلية غير واحدة وقد خالفهم أبو عبيدة معمر بن المثنى وقوله رحمه الله فيه أقرب إلى الصواب
hadith|6713|حدثناه أبو النضر محمد بن يوسف الفقيه أنبأ علي بن عبد العزيز ثنا أبو عبيد القاسم بن سلام رحمه الله قال وقد ثبت وصح عندنا أن رسول الله صلى الله عليه وسلم * تزوج ثماني عشرة امرأة سبع منهن من قبائل قريش وواحدة من حلفاء قريش وتسعة من سائر قبائل العرب وواحدة من بني إسرائيل من بني هارون بن عمران أخي موسى بن عمران قال أبو عبيدة فأول من تزوج صلى الله عليه وسلم من نسائه في الجاهلية خديجة ثم تزوج بعد خديجة سودة بنت زمعة بمكة في الإسلام ثم تزوج عائشة قبل الهجرة بسنتين ثم تزوج بالمدينة بعد وقعة بدر سنة اثنتين من التاريخ أم سلمة ثم تزوج حفصة بنت عمر أيضا سنة اثنتين من التاريخ فهؤلاء الخمسة من قريش ثم تزوج في سنة ثلاث من التاريخ زينب بنت جحش ثم تزوج في سنة خمس من التاريخ جويرية بنت الحارث ثم تزوج سنة ست من التاريخ أم حبيبة بنت أبي سفيان ثم تزوج سنة سبع من التاريخ صفية بنت حيي ثم تزوج ميمونة بنت الحارث ثم تزوج فاطمة بنت شريح ثم تزوج زينب بنت خزيمة ثم تزوج هند بنت يزيد ثم تزوج أسماء بنت النعمان ثم تزوج قتيلة بنت قيس أخت الأشعث ثم تزوج سناء بنت الصلت السلمية
book||329 ذكر الصحابيات من أزواج رسول الله صلى الله عليه وسلم وغيرهن رضي الله تعالى عنهن فأول من نبدأ بهن الصديقة بنت الصديق عائشة بنت أبي بكر رضي الله عنهما
book_intro||في الجاهلية والإسلام الأبكار والثيبات وذكر من كن وعددهن ومن ولدت منهن ومن دخل بها منهن ومن طلقت منهن قبل أن يدخل بها فماتت ومن طلق بعد ما دخل بها فماتت ومن طلقها ثم راجعها ومن ماتت عنده ومن تزوج منهن بالمدينة وبغير ذلك من البلدان ومن تزوج من بطون قريش ومن حلفاء قريش ومن سائر قبائل العرب ومن بني إسرائيل ومن سبايا العرب ومن خطب رسول الله صلى الله عليه وسلم ولم يتزوجها وأوقات تزويجه صلى الله عليه وسلم إياهن كيف كان ومن بقيت منهن عنده حتى توفي صلى الله عليه وسلم ومن اتخذ من سراري العجم
hadith|6714|حدثني أبو جعفر أحمد بن عبيد بن إبراهيم الأسدي الحافظ بهمدان ثنا إبراهيم بن الحسين بن ديزيل ثنا أبو مسهر عبد الأعلى بن مسهر ثنا عبد الله بن عبد الرحمن بن يزيد بن جابر عن عمه يزيد بن جابر عن أبيه قال * تزوج النبي صلى الله عليه وسلم عائشة رضي الله عنها ولها سبع سنين ودخل بها ولها تسع سنين وقبض عنها ولها ثمان عشرة سنة وتوفيت رضي الله عنها زمن معاوية سنة سبع وخمسين
hadith|6715|حدثني أبو بكر محمد بن أحمد بن بالويه ثنا إبراهيم بن إسحاق الحربي ثنا مصعب بن عبد الله الزبيري حدثني عبد الله بن معاوية عن هشام بن عروة * أن عروة كتب إلى الوليد بن عبد الملك بن مروان ونكح رسول الله صلى الله عليه وسلم عند متوفى خديجة عائشة رضي الله عنها وكان رسول الله صلى الله عليه وسلم أريها في المنام ثلاث مرار يقال هذه امرأتك عائشة وكانت عائشة يوم نكحها رسول الله صلى الله عليه وسلم بنت ست سنين ثم بني بها وقدم المدينة وهي بنت تسع سنين وماتت عائشة أم المؤمنين ليلة الثلاثاء بعد صلاة الوتر ودفنت من ليلتها بالبقيع لخمس عشرة ليلة خلت من رمضان وصلى عليها أبو هريرة رضي الله تعالى عنه وكان مروان غائبا وكان أبو هريرة يخلفه
hadith|6716|حدثنا أبو عبد الله محمد بن أحمد بن بطة الأصبهاني ثنا الحسن بن الجهم ثنا الحسين بن الفرج ثنا محمد بن عمر * قال عائشة بنت أبي بكر الصديق رضي الله عنها أمها أم رومان بنت عامر بن عويمر بن عبد شمس بن عتاب بن أذينة بن سبيع بن دهمان بن الحارث بن غنم بن مالك بن كنانة تزوجها رسول الله صلى الله عليه وسلم في شوال سنة عشر من النبوة قبل الهجرة بثلاث سنين وعرس بها رسول الله صلى الله عليه وسلم في شوال على رأس ثمانية أشهر من الهجرة وكانت يوم ابتنى بها بنت تسع سنين قال بن عمر فحدثنا موسى بن محمد بن عبد الرحمن عن ريطة عن عمرة عن عائشة رضي الله عنها أنها سئلت متى بني بك رسول الله صلى الله عليه وسلم فقالت لما هاجر رسول الله صلى الله عليه وسلم إلى المدينة خلف وخلف بناته فلما قدم المدينة بعث إلينا زيد بن حارثة وبعث معه أبا رافع مولاه وأعطاهم بعيرين وخمس مائة درهم أخذها رسول الله صلى الله عليه وسلم في المدينة من أبي بكر يشتريان بها ما يحتاجان إليه من الظهر وبعث أبو بكر رضي الله عنه معهما عبد الله بن أريقط الديلي ببعيرين أو ثلاثة وكتب إلى عبد الله بن أبي بكر يأمره أن يحمل أهله أم رومان وأنا وأختي أسماء امرأة الزبير فخرجوا مصطحبين فلما انتهوا إلى قديد اشترى زيد بن حارثة بتلك الخمس مائة درهم ثلاثة أبعرة ثم دخلوا مكة جميعا وصادفوا طلحة بن عبيد الله يريد الهجرة بآل أبي بكر فخرجنا جميعا وخرج زيد بن حارثة وأبو رافع بفاطمة وأم كلثوم وسودة بنت زمعة وحمل زيد أم أيمن وأسامة بن زيد وخرج عبد الله بن أبي بكر بأم رومان وأختيه وخرج طلحة بن عبيد الله واصطحبنا جميعا حتى إذا كنا بالبيض من منى نفر بعيري وأنا في محفة معي فيها أمي فجعلت أمي تقول وابنتاه واعروساه حتى أدرك بعيرنا وقد هبط من لفت فسلم ثم أنا قدمنا المدينة فنزلت مع عيال أبي بكر ونزل آل رسول الله صلى الله عليه وسلم وهو يومئذ يبني المسجد وأبياتا حول المسجد فأنزل فيها أهله ومكثنا أياما في منزل أبي بكر رضي الله عنه قال أبو بكر يا رسول الله صلى الله عليه وسلم ما يمنعك أن تبني بأهلك فقال رسول الله صلى الله عليه وسلم الصداق فأعطاه أبو بكر اثنتي عشرة أوقية ونشا فبعث بها رسول الله صلى الله عليه وسلم إلينا وبنى بي رسول الله صلى الله عليه وسلم في بيتي هذا الذي أنا فيه وهو الذي توفي فيه رسول الله صلى الله عليه وسلم ودفن فيه وجعل رسول الله صلى الله عليه وسلم لنفسه بابا في المسجد وجاه باب عائشة قالت وبنى رسول الله صلى الله عليه وسلم بسودة في أحد ثلاث البيوت التي إلى جنبي وكان رسول الله صلى الله عليه وسلم يكون عندها قال وتوفيت عائشة رضي الله عنها سنة ثمان وخمسين في شهر رمضان قال بن عمر فحدثني عبد الواحد بن ميمون مولى عروة عن حبيب مولى عروة قال لما ماتت خديجة حزن عليها النبي صلى الله عليه وسلم فأتاه جبريل عليه السلام بعائشة في مهد فقال يا رسول الله هذه تذهب ببعض حزنك وأن في هذه لخلفا من خديجة ثم ردها فكان رسول الله صلى الله عليه وسلم يختلف إلى بيت أبي بكر ويقول يا أم رومان استوصي بعائشة خيرا واحفظيني فيها فكان لعائشة بذلك منزلة عند أهلها ولا يشعرون بأمر الله فيها فأتاهم رسول الله صلى الله عليه وسلم في بعض ما كان يأتيهم وكان لا يخطئه يوم واحد إلا أن يأتي بيت أبي بكر منذ أسلم إلى أن هاجر فيجد عائشة متسترة بباب أبي بكر تبكي بكاء حزينا فسألها فشكت أمها وذكرت أنها تولع فدمعت عينا رسول الله صلى الله عليه وسلم فدخل على أم رومان فقال يا أم رومان ألم أوصك بعائشة أن تحفظيني فيها فقالت يا رسول الله صلى الله عليه وسلم إنها بلغت الصديق عنا وأغضبته علينا فقال النبي صلى الله عليه وسلم وإن فعلت قالت أم رومان لا جرم لأسوتها أبدا وكانت عائشة رضي الله عنها ولدت في السنة الرابعة من النبوة وتزوجها رسول الله صلى الله عليه وسلم في السنة العاشرة في شوال وهي يومئذ ابنة ست سنين وتزوجها بعد سودة بشهر قال بن عمر فحدثني بن أبي سبرة عن موسى بن ميسرة عن سالم سبلان قال ماتت عائشة ليلة السابع عشرة من رمضان بعد الوتر فأمرت أن تدفن من ليلتها واجتمع الأنصار وحضروا فلم تر ليلة أكثر ناسا منها نزل أهل العوالي فدفنت بالبقيع قال بن عمر فحدثني بن جريج عن نافع قال شهدت أبا هريرة صلى على عائشة رضي الله عنها بالبقيع وبن عمر في الناس لا ينكره وكان مروان اعتمر تلك السنة فاستخلف أبا هريرة
hadith|6717|حدثنا أبو العباس محمد بن يعقوب ثنا أبو البحتري عبد الله بن محمد بن بشر العبدي ثنا إسماعيل بن أبي خالد عن قيس بن أبي حازم قال قالت عائشة رضي الله عنها * وكانت تحدث نفسها أن تدفن في بيتها مع رسول الله صلى الله عليه وسلم وأبي بكر فقالت إني أحدثت بعد رسول الله صلى الله عليه وسلم حدثا ادفنوني مع أزواجه فدفنت بالبقيع هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|6718|حدثنا الشيخ أبو بكر بن إسحاق أنبأ عبد الله بن أحمد بن حنبل حدثني أبي ثنا عبد الرحمن بن مهدي ثنا أبو بكر بن عياش عن أبي حصين عن عبد الله بن زياد الأسدي قال * سمعت عمار بن ياسر يحلف بالله أنها زوجته صلى الله عليه وسلم في الدنيا والآخرة هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|6719|أخبرنا أحمد بن سهل الفقيه ببخارى ثنا صالح بن حبيب بن محمد الحافظ ثنا عبد الله بن عمر القواريري ثنا حرمي بن عمارة حدثني الحريش بن الحارث ثنا بن أبي مليكة عن عائشة رضي الله عنها أنها قالت * توفي رسول الله صلى الله عليه وسلم في بيتي وفي يومي وليلتي وبين سحري ونحري ودخل عبد الرحمن بن أبي بكر ومعه سواك من أراك رطب فنظر إليه رسول الله صلى الله عليه وسلم فقلت يا عبد الرحمن اقضمه من ذلك المكان فدفعه إلي فناولته إياه فرده إلي فقضمته وسويته فدفعته إلى النبي صلى الله عليه وسلم فتسوك به هذا حديث صحيح الإسناد ولم يخرجاه
hadith|6720|أخبرنا أحمد بن جعفر القطيعي ثنا عبد الله بن أحمد بن حنبل ثنا إسماعيل بن علية عن أيوب عن بن أبي مليكة قال قالت عائشة رضي الله عنها * مات رسول الله صلى الله عليه وسلم في بيتي وفي يومي وبين سحري ونحري ودخل عليه عبد الرحمن بن أبي بكر ومعه سواك رطب فنظر إليه حتى ظننت أن له فيه حاجة فأخذته فمضغته وقضمته وطيبته ثم دفعته إليه فاستن كأحسن ما رأيته مستنا قط ثم ذهب يرفعه إلي فسقطت يده فأخذت أدعو له بدعاء كان يدعو له به جبريل عليه الصلاة والسلام وكان هو يدعو به إذا مرض فلم يدع به في مرضه ذاك فرفع بصره إلى السماء وقال الرفيق الأعلى وفاضت نفسه صلى الله عليه وسلم فالحمد لله الذي جمع بين ريقي وريقه في آخر يوم من الدنيا هذا حديث صحيح على شرط الشيخين
hadith|6721|حدثنا أبو العباس محمد بن يعقوب ثنا الحسن بن علي بن عفان ثنا أبو أسامة عن هشام بن عروة عن أبيه عن عائشة رضي الله عنها قالت * كنت أدخل البيت الذي دفن معهما عمر والله ما دخلت إلا وأنا مشدود علي ثيابي حياء من عمر رضي الله عنه هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|6722|أخبرنا أبو العباس القاسم بن القاسم السياري بمرو ثنا أبو الموجه ثنا أبو عمار ثنا محمد بن يزيد الواسطي عن مجالد بن سعيد عن الشعبي عن مسروق قال قالت لي عائشة * لقد رأيت جبريل عليه الصلاة والسلام واقفا في حجرتي هذه ورسول الله صلى الله عليه وسلم يناجيه فلما دخل قلت يا رسول الله من هذا قال بمن شبهتيه قلت بدحية الكلبي قال لقد رأيت خيرا كثيرا ذاك جبريل عليه السلام فما لبثت إلا يسيرا حتى قال يا عائشة هذا جبريل يقرأ عليك السلام قالت قلت وعليه السلام جزاه الله من دخيل خيرا
hadith|6723|أخبرني أبو الحسن علي بن محمد بن عفان العامري ثنا أسباط بن محمد القرشي ثنا مطرف عن أبي إسحاق عن مصعب بن سعد قال * فرض عمر لأمهات المؤمنين عشرة آلاف وزاد عائشة ألفين وقال أنها حبيبة رسول الله صلى الله عليه وسلم
hadith|6724|أخبرناه أبو العباس محمد بن أحمد المحبوبي بمرو ثنا سفيان بن مسعود ثنا عبيد الله بن موسى أنبأ إسرائيل عن أبي إسحاق عن مصعب بن سعد عن سعد قال * كان عطاء أهل بدر ستة آلاف ستة آلاف وكان عطاء أمهات المؤمنين عشرة آلاف عشرة آلاف لكل امرأة منهن غير ثلاث نسوة عائشة فإن عمر قال أفضلها بألفين لحب رسول الله صلى الله عليه وسلم إياها وصفية وجويرية سبعة آلاف سبعة آلاف هذا حديث صحيح على شرط الشيخين ولم يخرجاه لإرسال مطرف بن طريف إياه
hadith|6725|أخبرنا أبو الفضل الحسن بن يعقوب بن يوسف العدل ثنا يحيى بن أبي طالب ثنا زيد بن الحباب أنبأ عمر بن سعيد بن أبي حسين المكي حدثني عبد الله بن أبي مليكة حدثني ذكوان أبو عمرو مولى عائشة * أن درجا قدم إلى عمر من العراق وفيه جوهر فقال لأصحابه تدرون ما ثمنه قالوا لا ولم يدروا كيف يقسمونه فقال تأذنون أن أبعث به إلى عائشة لحب رسول الله صلى الله عليه وسلم إياها فقالوا نعم فبعث به إليها ففتحته فقالت ماذا فتح على بن الخطاب بعد رسول الله صلى الله عليه وسلم اللهم لا تبقني لعطيته لقابل هذا حديث صحيح على شرط الشيخين إذا صح سماع ذكوان أبي عمرو ولم يخرجاه
