collection||مصنف ابن أبي شيبة
hadith|37347|حدثنا يزيد بن هارون قال أخبرنا شعبة بن الحجاج عن قيس بن مسلم عن طارق بن شهاب قال جلد خالد بن الوليد رجلا حدا فلما كان من الغد جلد رجلا آخر حدا فقال رجل هذه والله الفتنة جلد أمس رجلا في حد وجلد اليوم رجلا في حد فقال خالد ليست ( ( ( ليس ) ) ) هذه بفتنة إنما الفتنة أن تكون في أرض يعمل فيها بالمعاصي فتريد أن تخرج منها إلى أرض لا يعمل فيها بالمعاصي فلا تجدها
hadith|37348|حدثنا يحيى بن آدم قال حدثنا أبو شهاب عن الحسن بن عمرو الفقيمي عن منذر الثوري عن سعد بن حذيفة قال لما تحسر الناس سعيد بن العاص كتبوا بينهم كتابا أن لا يستعمل عليهم إلا رجلا يرضونه لأنفسهم ودينهم فبينما هم كذلك إذ قدم حذيفة من المدائن فأتوه بكتابهم فقالوا يا أبا عبد الله صنعنا بهذا الرجل ما قد بلغك ثم كتبنا هذا الكتاب وأحببنا أن لا نقطع أمرا دونك فنظر في كتابهم وضحك وقال والله ما أدري أي الأمرين أردتم أن تتولوا سلطان قوم ليس لكم أردتم أن تردوا هذه الفتنة حيث أطلقت خطامها واستوت إنها لمرسلة من الله في الأرض ترتعي حتى تطأ على خطامها لن يستطيع أحد من الناس لها ردا وليس أحد من الناس يقاتل فيها إلا قتل حتى يبعث الله قزعا كقزع الخريف يكون بهم بينهم
hadith|37349|حدثنا عبيد الله بن موسى عن شيبان عن الأعمش عن عمرو بن مرة عن زاذان قال سمعت حذيفة يقول ليأتين عليكم زمان خيركم فيه من لا يأمر بمعروف ولا ينهى عن منكر فقال رجل من القوم أيأتي علينا زمان نرى المنكر فيه فلا نغيره قال والله لتفعلن قال فجعل حذيفة يقول باصبعه في عينه كذبت والله ثلاثا قال الرجل فكذبت وصدق
hadith|37350|حدثنا عبيد الله عن شيبان عن الأعمش عن إبراهيم التيمي عن أبيه قال سمعت حذيفة يقول ليأتين عليكم زمان يتمنى الرجل فيه الموت فيقتل أو يكفر وليأتين عليكم زمان يتمنى الرجل الموت من غير فقر
hadith|37351|حدثنا يزيد بن هارون قال أخبرنا العوام بن حوشب قال حدثني سعيد بن جمهان عن بن أبي بكرة عن أبيه قال ذكر رسول الله صلى الله عليه وسلم أرضا يقال لها البصرة أو البصيرة إلى جنبها نهر يقال له دجلة ذو نخل كثيرة ينزل به بنو قنطوراء فتفترق الناس ثلاث فرق فرقة تلحق بأصلها وهلكوا وفرقة تأخذ على أنفسها وكفروا وفرقة يجعلون ذراريهم خلف ظهورهم فيقاتلون قتلاهم شهداء يفتح الله على بقيتهم
hadith|37352|حدثنا بن عيينة عن الزهري عن سعيد عن أبي هريرة يبلغ به النبي صلى الله عليه وسلم قال لا تقوم الساعة حتى تقاتلوا قوما نعالهم الشعر ولا تقوم الساعة حتى تقاتلوا قوما صغار الأعين
hadith|37353|حدثنا بن عيينة عن أبي الزناد عن الأعرج عن أبي هريرة يبلغ به النبي صلى الله عليه وسلم لا تقوم الساعة حتى تقاتلوا قوما نعالهم الشعر ولا تقوم الساعة حتى تقاتلوا قوما صغار الأعين ذلف الأنوف كأن وجوههم المجان المطرقة
hadith|37354|حدثنا يزيد بن هارون عن أبي مالك الأشجعي سعد بن طارق عن أبيه أنه سمع النبي صلى الله عليه وسلم يقول بحسب أصحابي القتل
hadith|37355|حدثنا يزيد بن هارون قال أخبرنا شعبة عن قتادة عن أنس عن أسيد بن حضير أن رسول الله صلى الله عليه وسلم قال للأنصار إنكم سترون بعدي إثرة فاصبروا حتى تلقوني على الحوض
hadith|37356|حدثنا وكيع وأبو نعيم عن سفيان عن نسير عن هبيرة بن خزيمة عن ربيع بن خثيم قال لما جاء قتل الحسين قال اللهم أنت تحكم بين عبادك فيما كانوا فيه يختلفون
hadith|37357|حدثنا أسود بن عامر قال حدثنا زهير قال حدثنا أبو روق الهمذاني ( ( ( الهمداني ) ) ) قال حدثنا أبو الغريف ( ( ( الغري ) ) ) قال كنا مقدمة الحسن بن علي اثني عشر ألفا بمسكن مستميتين تقطر سيوفنا من الجد على قتال أهل الشام وعلينا أبو العمرو قال فلما أتانا صلح الحسن بن علي ومعاوية كأنما كسرت ظهورنا من الحزن والغيظ قال فلما قدم الحسن بن علي الكوفة قام إليه رجل منا يكنى أبا عامر فقال السلام عليك يا مذل المؤمنين فقال لا تقل ذاك ( ( ( ذلك ) ) ) يا أبا عامر ولكني كرهت أن اقتلهم طلب الملك أو على الملك
hadith|37358|حدثنا محمد بن عبيد قال حدثني صدقة بن المثنى عن جده رياح ( ( ( رباح ) ) ) بن الحارث قال قام الحسن بن علي بعد وفاة علي فخطب الناس فحمد الله وأثنى عليه ثم قال إن ما هو آت قريب وإن أمر الله واقع وإن كره الناس وإني والله ما أحب أن ألي من أمر أمة محمد صلى الله عليه وسلم ما يزن ذرة من خردل بهراق ( ( ( يهراق ) ) ) فيها محجمة من دم منذ علمت ما ينفعني مما يضرني فالحقوا بطيتكم
hadith|37359|حدثنا أبو أسامة عن بن عون عن عمير بن إسحاق قال دخلت أنا ورجل على الحسن بن علي نعوده فجعل يقول لذلك الرجل سلني قبل أن لا تسألني قال ما أريد أن أسألك شيئا يعافيك الله قال فقام فدخل الكنيف ثم خرج إلينا ثم قال ما خرجت إليكم حتى لفظت طائفة من كبدي أقلبها بهذا العود ولقد سقيت السم مرارا ما شيء أشد من هذه المرة قال فغدونا عليه من الغد فإذا هو في السوق قال وجاء الحسين فجلس عند رأسه فقال يا أخي من صاحبك قال تريد قتله قال نعم قال لئن كان الذي أظن لله أشد نقمة وإن كان بريئا فما أحب أن يقتل بريء
hadith|37360|حدثنا أبو الأحوص عن عبيد الله بن شريك عن بشر بن غالب قال لقي عبد الله بن الزبير الحسين بن علي بمكة فقال يا أبا عبد الله بلغني أنك تريد العراق قال أجل قال فلا تفعل فإنهم قتلة أبيك الطاعنون في بطن أخيك وإن أتيتهم قتلوك
hadith|37361|حدثنا محمد بن موسى العنزي ( ( ( ال ) ) ) عن جيلة ( ( ( جبلة ) ) ) بنت الصالح ( ( ( مصفح ) ) ) قالت أوصى مالك بن ضمرة بسلاحه للمجاهدين من بني ضمرة ألا يقاتل به أهل نبوة قال فقال أخوه عند رأسه يا أخي عند الموت تقول هذا قال هو ذاك قال فنحن في حل إن احتاج ولدك ان ينفع قال نعم قال فذهب السلاح فلم يبق منه إلا رمح قالت فجاء رجل من ذلك البعث الذي ساروا إلى الحسين فقال يا بن مالك يا موسى أعرني رمح أبيك أعترض به قال فقال يا جارية أعطه الرمح فقالت امرأة من أهله يا موسى أما تذكر وصية أبيك قالت وقد مر الرجل بالرمح قالت فلحق الرجل فأخذ الرمح منه فكسره
hadith|37362|حدثنا حسين بن علي عن أبي موسى عن الحسن قال رفع النبي صلى الله عليه وسلم الحسن بن علي معه على المنبر فقال إن ابني هذا سيد ولعل الله أن يصلح به بين فئتين من المسلمين
hadith|37363|حدثنا وكيع عن سفيان عن أبيه عن منذر الثوري عن بن الحنفية قال الفتنة من قابلها اجتيح ( ( ( احتيج ) ) )
hadith|37364|حدثنا حسين بن علي عن بن عيينة عن بن طاوس عن أبيه قال قال بن عباس جاءني حسين يستشيرني في الخروج إلى ما ها هنا يعني العراق فقلت لولا أن يزرؤا ( ( ( يزرءوا ) ) ) بي وبك لشبثت يدي في شعرك إلى أين تخرج إلى قوم قتلوا أباك وطعنوا أخاك فكان الذي سخا بنفسي عنه أن قال لي إن هذا الحرم يستحل برجل ولأن أقتل في أرض كذا وكذا غير أنه يباعده أحب إلي من أن أكون أنا هو
hadith|37365|حدثنا عبيد الله قال أخبرنا إسرائيل عن أبي إسحاق عن هانئ بن هانئ عن علي قال ليقتلن الحسين قتلا وإني لأعرف تربة الأرض التي بها يقتل يقتل قريبا من النهرين
hadith|37366|حدثنا يعلى بن عبيد عن موسى الجهني عن صالح بن أربد النخعي قال قالت أم سلمة دخل الحسين على النبي صلى الله عليه وسلم وأنا جالسة على الباب فتطلعت فرأيت في كف النبي صلى الله عليه وسلم شيئا يقلبه وهو نائم على بطنه فقلت يا رسول الله تطلعت فرأيتك تقلب شيئا في كفك والصبي نائم على بطنك ودموعك تسيل فقال إن جبريل أتاني بالتربة التي يقتل عليها وأخبرني أن أمتي يقتلونه
hadith|37367|حدثنا محمد بن عبيد قال حدثني شرحبيل بن مدرك الجعفي عن عبد الله بن يحيى الحضرمي عن أبيه أنه سافر مع علي وكان صاحب مطهرته حتى حاذى نينوى وهو منطلق إلى صفين فنادى صبرا أبا عبد الله صبرا أبا عبد الله فقلت ماذا أبا عبد الله قال دخلت على النبي صلى الله عليه وسلم وعيناه تفيضان قال قلت يا رسول الله ما لعينيك تفيضان أغضبك أحد قال قام من عندي جبريل فأخبرني أن الحسين يقتل بشط الفرات فلم أملك عيني أن فاضتا
hadith|37368|حدثنا أبو معاوية قال حدثنا الأعمش عن سلام أبي شرحبيل عن أبي هرثمة قال بعرت شاة له فقال لجارية له يا جرداء لقد أذكرني هذا البعر حديثا سمعته من أمير المؤمنين وكنت معه بكربلاء فمر بشجرة تحتها بعر غزلان فأخذ ( ( ( فأخذه ) ) ) منه قبضة فشمها ثم قال يحشر من هذا الظهر سبعون ألفا يدخلون الجنة بغير حساب
hadith|37369|حدثنا شريك عن عطاء بن السائب عن وائل بن علقمة أنه شهد الحسين بكربلاء قال فجاء رجل فقال أفيكم حسين فقال من أنت فقال أبشر بالنار قال بل رب غفور رحيم مطاع قال ومن أنت قال أنا بن حويزة قال اللهم حزه إلى النار قال فذهب فنفر به فرسه على ساقيه فتقطع فما بقي منه غير رجله في الركاب
hadith|37370|حدثنا علي بن مسهر عن أم حكيم قالت لما قتل الحسين بن علي وأنا يومئذ جارية قد بلغت مبلغ النساء أو كدت أن أبلغ مكثت السماء بعد قتله أياما كالعلقة
hadith|37371|حدثنا وكيع عن أبي عاصم الثقفي عن قيس بن مسلم عن طارق بن شهاب قال جاءنا قتل عثمان وأنا أونس من نفسي شبابا وقوة ولو قتلت القتال فخرجت أحضر الناس حتى إذا كنت بالربذة إذا علي بها فصلى بهم العصر فلما سلم أسند ظهره في مسجدها واستقبل القوم قال فقام إليه الحسن بن علي يكلمه وهو يبكي فقال له علي تكلم ولا تحن حنين الجارية قال أمرتك حين حصر الناس هذا الرجل أن تأتي مكة فتقيم بها فعصيتني ثم أمرتك حين قتل أن تلزم بيتك حتى ترجع إلى العرب غوارب أحلامها فلو كنت في جحر ضب لضربوا إليك آباط الإبل حتى يستخرجوك من جحرك فعصيتني وأنشدك بالله أن تأتي العراق فتقتل بحال مضيعة قال فقال علي أما قولك آتي مكة فلم أكن بالرجل الذي تستحل لي مكة وأما قولك قتل الناس عثمان فما ذنبي إن كان الناس قتلوه وأما قولك آتي العراق فأكون كالضبع تستمع للام ( ( ( للدم ) ) )
hadith|37372|حدثنا يحيى بن آدم قال حدثنا بن عيينة عن مجالد عن الشعبي قال لما كان الصلح بين الحسن بن علي ومعاوية أراد الحسن الخروج إلى المدينة فقال له معاوية ما أنت بالذي تذهب حتى تخطب الناس قال قال الشعبي فسمعته على المنبر حمد الله وأثنى عليه ثم قال فإن اكيس الكيس التقى وإن أعجز العجز الفجور وإن هذا الأمر الذي اختلفت ( ( ( أختلف ) ) ) أنا فيه ومعاوية حتى كان لي فتركته لمعاوية أو حق كان لا يرى أحق به مني وإنما فعلت هذا لحقن دمائكم وإن أدري لعله فتنة لكم ومتاع إلى حين ثم نزل
hadith|37373|حدثنا محمد بن بشر قال حدثنا مجالد عن زياد بن علاقة عن أسامة بن زيد قال قال رسول الله صلى الله عليه وسلم من فرق بين أمتي وهم جميع فاضربوا رأسه كائنا من كان
hadith|37374|حدثنا زياد بن الربيع عن عباد بن كثير الشامي عن امرأة منهم يقال لها فسيلة عن أبيها قالت سمعت أبي يقول سألت رسول الله صلى الله عليه وسلم قلت يا رسول الله من ( ( ( أمن ) ) ) العصبية أن يحب الرجل قومه قال لا ولكن من العصبية أن يعين الرجل قومه على الظلم
hadith|37375|حدثنا بن عيينة عن الزهري عن سنان بن أبي سنان عن أبي واقد الليثي أن رسول الله صلى الله عليه وسلم حين أتى حنينا مر بشجرة يعلق المشركون بها أسلحتهم يقال لها ذات أنواط فقالوا اجعل لنا ذات أنواط فقال رسول الله صلى الله عليه وسلم هذا كما قال قوم موسى لموسى اجعل لنا إلها كما لهم آلهة لتركبن سنن من كان قبلكم
hadith|37376|حدثنا يزيد بن هارون عن محمد بن عمرو عن أبي سلمة عن أبي هريرة قال قال رسول الله صلى الله عليه ( ( ( لتتب ) ) ) وسلم لتتبعن سنة من كان قبلكم باعا بباع وذراعا بذراع وشبرا بشبر حتى لو دخلوا في جحر ضب لدخلتم فيه قالوا يا رسول الله اليهود والنصارى قال فمن إذن
hadith|37377|حدثنا أبو خالد الأحمر عن يحيى بن سعيد عن عمر بن الحكم قال سمعت عبد الله بن عمرو يقول لتركبن سنة من كان قبلكم حلوها ومرها
hadith|37378|حدثنا وكيع عن سفيان عن أبي قيس عن هزيل قال قال عبد الله أنتم أشبه الناس سمتا وهديا ببني إسرائيل لتسلكن طريقهم حذو القذة بالقذة والنعل بالنعل قال عبد الله إن من البيان سحرا
hadith|37379|حدثنا يحيى بن عيسى عن الأعمش عن المنهال عن أبي البختري قال قال حذيفة لا يكون في بني إسرائيل شيء إلا كان فيكم مثله فقال رجل فينا قوم لوط قال نعم وما ترى بلغ ذلك لا أم لك
hadith|37380|حدثنا عبد الله بن نمير عن الأعمش عن المنهال بن عمرو عن أبي البختري عن حذيفة قال لتعملن عمل بني إسرائيل فلا يكون فيهم شيء إلا كان فيكم مثله فقال رجل تكون فينا قردة وخنازير قال وما يبريك من ذلك لا أم لك قالوا حدثنا يا أبا عبد الله قال لو حدثتكم لافترقتم على ثلاث فرق فرقة تقاتلني وفرقة لا تنصرني وفرقة تكذبني أما إني سأحدثكم ولا أقول قال رسول الله ص أرأيتكم لو حدثتكم أنكم تأخذون كتابكم فتحرقونه وتلقونه في الحشوش صدقتموني قالوا سبحان الله ويكون هذا قال أرأيتكم لو حدثتكم أنكم تكسرون قبلتكم صدقتموني قالوا سبحان الله ويكون هذا قال أرأيتكم لو حدثتكم أن أمكم تخرج في فرقة من المسلمين وتقاتلكم صدقتموني قالوا سبحان الله ويكون هذا
hadith|37381|حدثنا عبد الرحمن بن مهدي عن سفيان عن حبيب قال سمعت بن عمر يقول يا أهل العراق تأتون بالمعضلات
hadith|37382|حدثنا يزيد بن هارون قال أخبرنا سفيان بن حسين عن هشام بن يوسف عن عوف بن مالك قال استأذنت على النبي صلى الله عليه وسلم فقال ادخل قلت فأدخل كلي أو بعضي قال أدخل كلك فدخلت عليه وهو يتوضأ وضوءا مكيثا فقال يا عوف بن مالك ست قبل الساعة موت نبيكم صلى الله عليه وسلم خذ احدى فكأنما انتزع قلبي من مكانه وفتح بيت المقدس وموت يأخذكم تقعصون به كما تقعص الغنم وأن يكثر المال حتى يعطى الرجل مائة دينار فيسخطها وفتح مدينة الكفر وهدنة تكون بينكم وبين بني الأصفر فيأتونكم تحت ثمانين غاية تحت كل غاية اثنا عشر ألفا فيكون ( ( ( فيكونون ) ) ) أولى بالغدر منكم
hadith|37383|حدثنا وكيع عن النهاس بن قهم قال حدثني شداد أبو عمار عن معاذ بن جبل قال قال رسول الله صلى الله عليه وسلم ست من أشراط الساعة موتي وفتح بيت المقدس وان يعطى الرجل ألف دينار فيسخطها وفتنة يدخل حزبها بيت كل مسلم وموت يأخذ في الناس كقعاص الغنم وأن تغدر الروم فيسيرون بثمانين ( ( ( ب ) ) ) نبذا ( ( ( ثمانين ) ) ) تحت كل نبذ ( ( ( بند ) ) ) اثنا عشر ألفا
hadith|37384|حدثنا هوذة بن خليفة حدثنا عوف عن الحسن عن أسيد بن المتشمس قال كنا عند أبي موسى فقال ألا أحدثكم حديثا كان رسول الله صلى الله عليه وسلم يحدثناه قلنا بلى قال قال رسول الله صلى الله عليه وسلم لا تقوم الساعة حتى يكثر الهرج فقلنا يا رسول الله وما الهرج قال القتل القتل قلنا أكثر مما نقتل اليوم قال ليس بقتلكم الكفار ولكن يقتل ( ( ( بقتل ) ) ) الرجل جاره وأخاه وبن عمه قال فأبلسنا حتى ما يبدي أحد منا عن واضحة قال قلنا ومعنا عقولنا يومئذ قال تنزع عقول أكثر أهل ذلك الزمان ويخلف هنات من الناس يحسب أكثرهم أنهم على شيء وليسوا على شيء والذي نفسي بيده لقد خشيت أن يدركني وإياكم الأمور ولئن أدركتنا ما لي ولكم منها مخرج إلا أن نخرج منها كما دخلناه
hadith|37385|حدثنا غندر عن شعبة عن منصور عن ربعي عن أبي بكرة عن النبي صلى الله عليه وسلم أنه قال إذا المسلمان حمل أحدهما على أخيه بالسلاح فهما على حرف جهنم فإذا قتل أحدهما صاحبه دخلاها جميعا
hadith|37386|حدثنا يزيد بن هارون قال أخبرنا بن عون عن محمد عن أبي هريرة عن النبي صلى الله عليه وسلم قال الملائكة تلعن أحدكم إذا أشار لأخيه بحديدة وإن كان أخاه لأبيه وأمه
hadith|37387|حدثنا وكيع عن عبيد بن طفيل عن شاذان عن ربعي بن حراش قال قال حذيفة لتركبن سنة بني إسرائيل حذو النعل بالنعل والقذة بالقذة غير إني لا أدري تعبدون العجل أم لا
hadith|37388|حدثنا عفان قال حدثنا أبو عوانة قال حدثنا إبراهيم بن محمد بن المنتشر عن أبيه عن حذيفة قال إذا سب بقعان أهل الشام فمن استطاع منكم أن يموت فليمت
hadith|37389|حدثنا يزيد بن هارون قال أخبرنا هشام عن محمد عن عبد الرحمن بن أبي بكرة قال قدمت الشام قال فقلت لو دخلت على عبد الرحمن بن عمرو فسلمت عليه فأتيته فسلمت عليه فقال لي من أنت فقلت أنا عبد الرحمن بن أبي بكرة قال يوشك بنو قنطوراء أن يخرجوكم من أرض العراق قلت ثم نعود قال أنت تشتهي ذلك قلت نعم قال نعم وتكون لكم سلوة من عيش
hadith|37390|حدثنا أبو معاوية عن الأعمش عن زيد بن وهب قال مات رجل من المنافقين فلم يصل عليه حذيفة فقال له عمر أمن القوم هو قال نعم فقال له عمر بالله منهم أنا قال لا ولن أخبر به أحدا بعدك
hadith|37391|حدثنا أبو معاوية عن الأعمش عن زيد عن حذيفة قال ما بقي من المنافقين إلا أربعة أحدهم شيخ كبير لا يجد برد الماء من الكبر قال فقال له رجل فمن هؤلاء الذين ينقبون بيوتنا ويسرقون علائقنا قال ويحك أولئك الفساق
hadith|37392|حدثنا أبو معاوية عن الأعمش عن زيد قال قرأ حذيفة فقاتلوا أئمة الكفر قال ما قوتل أهل هذه الآية بعد
hadith|37393|حدثنا وكيع عن الأعمش عن عمرو بن مرة عن أبي البختري قال قال رجل اللهم أهلك المنافقين فقال حذيفة لو هلكوا ما انتصفتم من عدوكم
hadith|37394|حدثنا أبو معاوية عن الأعمش عن شمر قال قال حذيفة أيسرك أن تقتل أفجر الناس قال نعم قال إذن تكون أفجر منه
hadith|37395|حدثنا أبو معاوية عن الأعمش عن عمرو بن مرة عن أبي البختري عن حذيفة قال القلوب أربعة قلب مصفح فذاك قلب المنافق وقلب أغلف فذاك قلب الكافر وقلب أجرد كأن فيه سراجا يزهر ( ( ( يزهو ) ) ) فذاك قلب المؤمن وقلب فيه نفاق وإيمان فمثله مثل قرحة يمدها قيح ودم ومثله مثل شجرة يسقيها ماء خبيث وماء طيب فأي ماء غلب عليها غلب
hadith|37396|حدثنا وكيع قال حدثنا الأعمش عن شقيق عن حذيفة قال المنافقون الذين فيكم اليوم شر من الذين كانوا على عهد رسول الله صلى الله عليه وسلم قال قلت يا أبا عبد الله وكيف ذاك قال إن أولئك كانوا يسرون نفاقهم وإن هؤلاء أعلنوه
hadith|37397|حدثنا وكيع قال حدثنا الأعمش عن مخول بن راشد عن رجل من عبد القيس قال قال حذيفة ما أبالي بعد سبعين سنة لو دهدهت حجرا من فوق مسجدكم هذا فقتلت منكم عشرة
hadith|37398|حدثنا يحيى بن عيسى عن الأعمش عن مخول عن رجل قال كنا مع حذيفة فأخذ حصى فوضع بعضه فوق بعض ثم قال لنا انظروا ما ترون من الضوء قلنا نرى شيئا خفيا قال والله لتركبن ( ( ( ليركبن ) ) ) الباطل على الحق حتى لا ترون من الحق إلا ما ترون من هذا
hadith|37399|حدثنا حسين بن علي عن زائدة عن منصور عن شقيق عن حذيفة قال ليوشكن أن يصب عليكم الشر من السماء حتى يبلغ الفيافي قال قيل وما الفيافي يا أبا عبد الله قال الأرض القفر
hadith|37400|حدثنا علي بن مسهر عن الوليد بن جميع عن أبي الطفيل قال جاء رجل من محارب يقال له عمرو بن ضليع ( ( ( صليع ) ) ) إلى حذيفة فقال له يا أبا عبد الله حدثنا ما رأيت وشهدت فقال حذيفة يا عمرو بن ضليع ( ( ( صليع ) ) ) أرأيت محارب أم مضر قال نعم قال فإن مضر لا تزال تقتل كل مؤمن وتفتنه أو يضربهم الله والملائكة والمؤمنون حتى لا يمنعوا بطن تلعة أرأيت محارب أم قيس عيلان قال نعم قال فإذا رأيت عيلان قد نزلت بالشام فخذ حذرك
hadith|37401|حدثنا يزيد بن هارون عن العوام قال حدثني منصور بن المعتمر عن ربعي عن حذيفة قال أدنوا يا معشر مضر فوالله لا تزالون بكل مؤمن تفتنونه وتقتلونه حتى يضربكم الله وملائكته والمؤمنون حتى لا تمنعوا بطن تلعة قالوا فلم تديننا ( ( ( تدنينا ) ) ) ونحن كذلك قال إن منكم سيد ولد آدم وإن منكم سوابق كسوابق الخيل
hadith|37402|حدثنا عبد الله بن نمير قال حدثنا الأعمش عن عبد الله بن ثروان عن عمرو بن حنظلة قال قال حذيفة لا تدع مضر عبدا مؤمنا إلا فتنوه أو قتلوه أو يضربهم الله والملائكة والمؤمنون حتى لا تمنعوا ذنب تلعة فقال له رجل يا أبا عبد الله تقول هذا وأنت رجل من مضر قال ألا أقول ما قال رسول الله صلى الله عليه وسلم
hadith|37403|حدثنا أبو أسامة قال حدثنا سفيان قال حدثنا إبراهيم بن محمد بن المنتشر عن أبيه قال قال حذيفة إن أهل البصرة لا يفتحون باب هدى ولا يتركون باب ضلالة وإن الطوفان قد رفع من الأرض كلها إلا عن البصرة
hadith|37404|حدثنا يزيد بن هارون قال أخبرنا عيينة بن عبد الرحمن عن أبيه عن أخيه ربيعة بن جوشن قال قدمت الشام فدخلت على عبد الله بن عمرو فقال ممن أنتم قلنا من أهل البصرة قال أما ( ( ( ألا ) ) ) لا فاستعدوا يا أهل البصرة قلنا بماذا قال بالزاد والقرب خير المال اليوم أجمال يحتمل الرجل عليهن أهله ويميرهم عليها وفرس وقاح شديد فوالله ليوشك بنو قنطوراء أن يخرجوكم منها حتى يجعلوكم بدكية قال قلنا وما بنو قنطوراء قال أما في الكتاب فهكذا نجده وأما في النعت فنعت الترك
hadith|37405|حدثنا وكيع عن إسماعيل بن أبي خالد عن سعيد بن أبي عمرو عن أبي هريرة قال كيف أنتم إذا لم يجب لكم دينار ولا درهم ولا قفيز
hadith|37406|حدثنا وكيع عن عمران عن أبي مجلز قال أراد عمر أن لا يدع مصرا من الأمصار إلا أتاه فقال له كعب لا تأت العراق فإن فيه تسعة أعشار الشر
hadith|37407|حدثنا أبو أسامة عن عوف عن قسامة بن زهير قال سمعت أبا موسى يقول إن لهذه يعني البصرة أربعة أسماء البصرة والخريبة وتدمر والمؤتفكة
hadith|37408|حدثنا بن علية عن هشام عن بن سيرين قال رأيت كثير بن أفلح في المنام فقلت له يا بن أفلح كيف أنتم قال بخير قال قلت أنتم الشهداء قال لا إن قتلى المسلمين ليسوا بشهداء ولكنا الندباء
hadith|37409|حدثنا شبابة عن شعبة عن يحيى بن حصين قال سمعت الحي غير واحد يحدثون عن أبي أنه قال لسعد بن أبي وقاص ما يمنعك من القتال قال لا حتى يعطوني سيفا يعرف المؤمن من الكافر
hadith|37410|حدثنا هوذة بن خليفة قال حدثنا عوف عن محمد بن سيرين عن عقبة بن أوس عن عبد الله بن عمرو قال يقتتل الناس بينهم على دعوى جاهلية عند قتل أمير أو إخراجه فتظهر إحدى الطائفتين حين تظهر وهي ذليلة فيرغب فيهم من يليهم من العدو فيسيرون إليهم ويقتحم أناس في الكفر تقحما
hadith|37411|حدثنا غندر عن شعبة عن يعلى بن عطاء عن عبد الله بن خربوذ عن عبد الله بن عمرو أنه قال ويل للجناحين من الرأس ويل للرأس من الجناحين قال شعبة فقلت وما الجناحان قال العراق ومصر والرأس الشام
hadith|37412|حدثنا عفان قال حدثنا حماد بن سلمة قال أخبرني عبد الله بن المختار عن عباس الجريري عن أبي عثمان النهدي عن عبد الله بن عمرو قال ليخسفن بالدار إلى جنب الدار وبالدار إلى جنب الدار حيث تكون للظالم
hadith|37413|حدثنا عفان قال حدثنا حماد بن سلمة قال أخبرنا ثابت عن غالب بن عجرد قال أتيت عبد الله بن عمرو أنا وصاحب لي وهو يحدث الناس فقال ممن أنتما فقلنا من أهل البصرة قال فعليكما إذا بضواحيها فلما تفرق الناس عنه دنونا منه فقلنا رأيت قولك ممن أنتما وقولك عليكما بضواحيها إذا قال إن دار مملكتها وما حولها مشوب بهم قال ثابت فكان غالب بن عجرد إذا دخل على الرحبة سعي حتى يخرج منها
hadith|37414|حدثنا أبو معاوية عن عاصم عن أبي عثمان قال جاء رجل إلى حذيفة فقال إني أريد الخروج إلي البصرة فقال إن كنت لا بد لك من الخروج فأنزل عزواتها ولا تنزل سرتها
hadith|37415|حدثنا وكيع قال حدثنا الأعمش عن ثابت بن هرمز أبي المقدام عن أبي يحيى قال سئل حذيفة من المنافق قال الذي يصف الإسلام ولا يعمل به
hadith|37416|حدثنا عبيد الله بن موسى عن حسن بن صالح عن معاوية بن إسحاق قال حدثني رجل من الطائف عن عبد الله بن عمرو قال لا تقوم الساعة حتى يتهارجون في الطرق تهارج الحمير فيأتيهم إبليس فيصرفهم إلى عبادة الأوثان
hadith|37417|حدثنا أبو معاوية عن الأعمش عن شمر عن شهر بن حوشب عن كعب قال يقتتل القرآن والسلطان قال فيطأ السلطان على سماخ القرآن فلأيابلاي ( ( ( فلايا ) ) ) حتى ( ( ( بلاي ) ) ) تنفلتن منه
hadith|37418|حدثنا عبد الله بن نمير عن عبيد الله بن عمر عن كعب قال يوشك نار تخرج من اليمن قال تسوق الناس تغدو معهم إذا غدوا وتقيل معهم إذا قالوا وتروح معهم إذا راحوا فإذا سمعتم ذلك فاخرجوا إلى الشام
hadith|37419|حدثنا وكيع عن سفيان عن أبيه عن عكرمة عن أبيه عن بن عباس قال قال كعب إذا رأيت القطر قد منع فاعلم أن الناس قد منعوا الزكاة فمنع الله ما عنده وإذا رأيت السيوف قد عريت فاعلم أن حكم الله قد ضيع فانتقم بعضهم من بعض وإذا رأيت الزنى قد فشا فاعلم أن الربا قد فشا
hadith|37420|حدثنا وكيع قال حدثنا الأعمش عن سليمان بن ميسرة عن طارق بن شهاب عن زيد بن صوحان قال قال لي سلمان كيف أنت إذا اقتتل القرآن والسلطان قال إذا أكون مع القرآن قال نعم الزويد أنت إذا فقال أبو قرة وكان يبغض الفتن إذا أجلس في بيتي فقال سلمان لو كنت في أقصى تسعة أبيات كنت مع إحدى الطائفتين
hadith|37421|حدثنا وكيع عن مالك بن مغول قال حدثنا موسى بن قيس عن سلمة بن كهيل عن زيد بن وهب قال لما رجعنا من النهروان قال علي لقد شهدنا قوم ( ( ( قوما ) ) ) باليمن قلنا يا أمير المؤمنين كيف ذاك قال بالهواء
hadith|37422|حدثنا وكيع عن مالك بن مغول عن القاسم بن عبد الرحمن قال قال عبد الله إن الرجل يشهد المعصية فينكرها فيكون كمن غاب عنها ويكون يغيب فيرضاها فيكون كمن شهدها
