collection||Sahih Muslim
hadith|2750c|Rapporté par Hanzala Taimi Ufayyidi, le scribe du Messager d’Allah ﷺ : Nous étions en présence du Messager d’Allah ﷺ et il nous a rappelé les questions concernant le Paradis et l’Enfer. La suite du hadith est la même
chapter||
hadith|2751a|
hadith|2751b|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Allah, le Très-Haut et le Glorieux, a dit : “Ma miséricorde dépasse Ma colère.” »
hadith|2751c|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Quand Allah a créé la création, Il s’est prescrit à Lui-même, et ce document est auprès de Lui : “En vérité, Ma miséricorde l’emporte sur Ma colère.” »
hadith|2752a|
hadith|2752b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Allah a créé cent parts de miséricorde. Il en a distribué une seule parmi Sa création et Il a gardé les quatre-vingt-dix-neuf autres auprès de Lui (pour le Jour de la Résurrection). »
hadith|2752c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Allah possède cent parts de miséricorde. Il en a fait descendre une seule sur les djinns, les humains, les animaux et les insectes. C’est grâce à cette part qu’ils s’aiment, se montrent de la bonté et même les bêtes sont tendres avec leurs petits. Allah a réservé quatre-vingt-dix-neuf parts de miséricorde pour traiter Ses serviteurs le Jour de la Résurrection. »
hadith|2753a|
hadith|2753b|Rapporté par Mu’tamir, d’après son père : Ce hadith a été transmis selon cette chaîne de rapporteurs
hadith|2753c|Rapporté par Salman رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Le jour même où Allah a créé les cieux et la terre, Il a créé cent parts de miséricorde. Chaque part de miséricorde est aussi vaste que l’espace entre le ciel et la terre. Il a accordé une part à la terre : c’est pour cela que la mère est affectueuse envers son enfant, et que même les bêtes et les oiseaux se montrent de la bonté entre eux. Le Jour de la Résurrection, Allah déploiera toute Sa miséricorde. »
hadith|2754|Rapporté par Omar ibn al-Khattab رضي الله عنه alors qu'il donnait un sermon : On amena des prisonniers au Messager d’Allah ﷺ, parmi lesquels se trouvait une femme qui cherchait quelqu’un. Lorsqu’elle trouva un enfant parmi les prisonniers, elle le prit, le serra contre sa poitrine et l’allaita. Le Messager d’Allah ﷺ dit alors : « Pensez-vous que cette femme pourrait jeter son enfant dans le Feu ? » Nous avons répondu : « Par Allah, tant qu’elle en aura le pouvoir, elle ne le jettera jamais dans le Feu. » Le Messager d’Allah ﷺ dit alors : « Allah est plus miséricordieux envers Ses serviteurs que cette femme ne l’est envers son enfant. »
hadith|2755|Rapporté par ‘Ala’, d’après son père, d’après Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Si un croyant connaissait la punition (en Enfer), personne n’oserait espérer le Paradis, mais il souhaiterait seulement être sauvé de l’Enfer. Et si un non-croyant connaissait la miséricorde qu’Allah détient, personne ne désespérerait d’entrer au Paradis. »
hadith|2756a|
hadith|2756b,2619b|
hadith|2756c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit qu’un serviteur avait dépassé les limites en commettant des péchés. Le reste du hadith est le même, mais il n’est pas fait mention de l’histoire du chat. Dans la version rapportée par Ziibaidl, il est dit : « Allah, le Très-Haut et Glorieux, a ordonné à tout ce qui avait pris une part de ses cendres de rendre ce qu’il avait pris. »
hadith|2757a|
hadith|2757b|Rapporté par Shu’ba, selon une autre chaîne de rapporteurs : Ce hadith a été transmis avec une légère différence de formulation, et Qatada a expliqué l’expression « lam yasiru » ainsi : « Je ne trouve rien de bon pour moi auprès d’Allah. »
chapter||
hadith|2758a|
hadith|2758b|Rapporté par ‘Abd al-A’la ibn Hammad : Ce hadith a été transmis selon la même chaîne de rapporteurs
hadith|2758c|Rapporté par Abu Huraira رضي الله عنه : Il a entendu le Messager d’Allah ﷺ dire qu’un serviteur avait commis un péché. Le reste du hadith est le même, mais avec une légère différence de formulation
hadith|2759a,b|
chapter||
hadith|2760a|
hadith|2760b|Rapporté par ‘Abdullah رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Personne n’est plus pudique qu’Allah, et c’est pour cela qu’Il a interdit les actes abominables, qu’ils soient visibles ou cachés. Et personne n’aime Sa propre louange plus qu’Allah Lui-même. »
hadith|2760c|Rapporté par Abdullah ibn Mas’ud رضي الله عنه : Il a rapporté directement du Messager d’Allah ﷺ qu’il a dit : « Personne n’est plus pudique qu’Allah, et c’est pour cela qu’Il a interdit les actes abominables, qu’ils soient visibles ou cachés. Rien n’est plus aimé d’Allah que la louange de Lui-même, et c’est pour cela qu’Il s’est loué Lui-même. »
hadith|2760d|Rapporté par Abdullah ibn Mas’ud رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Personne n’aime sa propre louange plus qu’Allah, le Très-Haut et Glorieux. C’est pour cela qu’Il s’est loué Lui-même. Personne n’est plus pudique qu’Allah, et c’est pour cela qu’Il a interdit les actes abominables. Et il n’y a personne qui accepte plus volontiers les excuses des gens qu’Allah Lui-même, et c’est pour cela qu’Il a révélé le Livre et envoyé les Messagers. »
hadith|2761a|
hadith|2762a|
hadith|2761b|Rapporté par Abu Salama, d’après Abu Huraira رضي الله عنه : Il a rapporté que le Messager d’Allah (que la paix soit sur lui) a dit : « Il n’y a personne de plus pudique qu’Allah, le Très-Haut et Glorieux. » Il n’est pas fait mention du récit d’Asma’
hadith|2762b|Rapporté par Asma’ رضي الله عنها : Le Messager d’Allah ﷺ a dit : « Il n’y a personne de plus pudique qu’Allah, le Très-Haut et Glorieux. »
hadith|2761c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah (que la paix soit sur lui) a dit : « Le croyant est pudique et Allah est extrêmement pudique. »
hadith|2761d|Rapporté par Shu’ba, selon une autre chaîne de rapporteurs : Ce hadith a été transmis par une autre chaîne de rapporteurs
chapter||
hadith|2763a|
hadith|2763b|Rapporté par Ibn Mas'ud رضي الله عنه : Un homme vint voir le Messager d’Allah ﷺ et lui dit qu’il avait embrassé une femme, ou l’avait touchée de la main, ou avait fait quelque chose de semblable. Il lui demanda comment se faire pardonner. C’est alors qu’Allah, le Très-Haut, fit descendre ce verset (mentionné précédemment)
hadith|2763c|Rapporté par Sulaiman Taimi, selon la même chaîne de transmetteurs : Un homme s’était permis avec une femme un acte moins grave que la fornication. Il alla voir Omar b. Khattab رضي الله عنه, qui considéra cela comme une faute grave. Puis il alla voir Abu Bakr رضي الله عنه, qui jugea aussi cela grave. Ensuite, il se rendit auprès du Messager d’Allah ﷺ et lui raconta ce qui s’était passé. La suite du hadith est la même
hadith|2763d|Rapporté par Abdullah رضي الله عنه : Un homme vint voir le Messager d’Allah ﷺ et dit : « Ô Messager d’Allah, j’ai eu un comportement déplacé avec une femme en dehors de Médine, mais je n’ai pas commis la fornication. Je suis là devant toi, rends le jugement que tu juges approprié. » Omar رضي الله عنه lui dit : « Allah a caché ta faute, cache-la toi aussi. » Le Messager d’Allah ﷺ ne lui répondit rien. L’homme se leva et partit. Le Prophète ﷺ envoya quelqu’un le rappeler et lui récita ce verset : « Accomplis la prière aux deux extrémités du jour et à certaines heures de la nuit. Les bonnes actions effacent les mauvaises. Voilà un rappel pour ceux qui réfléchissent » (11:115). Quelqu’un demanda : « Ô Messager d’Allah, ce verset ne concerne-t-il que cet homme ? » Il répondit : « Non, il concerne tout le monde. »
hadith|2763e|Rapporté par Abu al-Ahwas : Dans ce récit, on trouve aussi ces paroles : Mu’adh demanda : « Ô Messager d’Allah, est-ce que cela ne concerne que ce cas précis ou bien nous tous ? » Le Prophète ﷺ répondit : « Bien sûr, cela concerne vous tous. »
hadith|2764|Rapporté par Anas رضي الله عنه : Un homme vint voir le Messager d’Allah ﷺ et dit : « Ô Messager d’Allah, j’ai commis une faute qui mérite une peine légale ; applique-la sur moi selon le Livre d’Allah. » Le Prophète ﷺ lui demanda : « N’étais-tu pas avec nous lors de la prière ? » Il répondit : « Oui. » Le Prophète ﷺ dit alors : « Tu as été pardonné. »
hadith|2765|Rapporté par Abu Umama رضي الله عنه : Nous étions assis dans la mosquée avec le Messager d’Allah ﷺ lorsqu’un homme entra et dit : « Ô Messager d’Allah, j’ai commis une faute qui mérite une peine légale ; applique-la sur moi. » Le Prophète ﷺ garda le silence. L’homme répéta sa demande, mais le Prophète ﷺ resta silencieux. C’est alors que l’appel à la prière fut lancé et la prière fut accomplie. Après la prière, cet homme suivit le Prophète ﷺ, et Abu Umama fit de même pour savoir ce que le Prophète ﷺ lui dirait. L’homme insista : « Ô Messager d’Allah, j’ai commis une faute qui mérite une peine légale ; applique-la sur moi. » Le Prophète ﷺ lui demanda : « N’as-tu pas fait tes ablutions correctement en sortant de chez toi ? » Il répondit : « Oui, ô Messager d’Allah. » Le Prophète ﷺ demanda : « Et tu as prié avec nous ? » Il répondit : « Oui. » Le Prophète ﷺ lui dit alors : « En vérité, Allah t’a pardonné ta faute. »
chapter||
hadith|2766a|
hadith|2766b|Rapporté par Abu Sa'id al-Khudri رضي الله عنه : Le Messager d’Allah ﷺ a dit qu’un homme avait tué quatre-vingt-dix-neuf personnes, puis il chercha à savoir s’il pouvait se repentir. Il alla voir un moine qui lui répondit qu’il n’y avait aucun espoir pour lui. Il tua alors le moine, puis chercha encore et se rendit dans un village où vivaient des gens pieux. En chemin, la mort le surprit, mais il réussit à se traîner sur la poitrine du côté du village des pieux. Il mourut, et les anges de la miséricorde et du châtiment se disputèrent à son sujet. Lorsqu’on mesura, il était plus proche du village des pieux d’une simple empan, et il fut donc compté parmi eux
hadith|2766c|Rapporté par Qatada, selon la même chaîne de transmetteurs, mais avec cette variante : « Allah ordonna à la terre d’où il venait de s’éloigner, et à la terre vers laquelle il se dirigeait de se rapprocher. »
hadith|2767a|
hadith|2767b|Rapporté par Abu Burda, d’après son père رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Aucun musulman ne mourra sans qu’Allah ne fasse entrer à sa place un juif ou un chrétien en Enfer. » Omar b. Abd al-Aziz jura trois fois : « Par Celui en dehors de qui il n’y a pas de divinité, mon père m’a bien rapporté cela du Messager d’Allah ﷺ. »
hadith|2767c|Rapporté par ‘Aun b. Utba رضي الله عنه : Ce hadith a été transmis par la même chaîne de transmetteurs
hadith|2767d|Rapporté par Abu Burda رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Le Jour de la Résurrection, certains musulmans viendront avec des péchés aussi lourds qu’une montagne, et Allah leur pardonnera et mettra à leur place les juifs et les chrétiens. » (D’après ce que je pense), Abu Raub dit : « Je ne sais pas qui a eu un doute. » Abu Burda dit : « J’ai rapporté cela à Omar b. Abd al-Aziz, qui me demanda : “Est-ce ton père qui te l’a rapporté du Messager d’Allah ﷺ ?” Je répondis : “Oui.” »
hadith|2768|Rapporté par Safwan b. Muhriz رضي الله عنه : Un homme demanda à Ibn ‘Umar رضي الله عنه : « Qu’as-tu entendu du Messager d’Allah ﷺ au sujet de l’entretien intime ? » Il répondit : « J’ai entendu le Prophète ﷺ dire : “Le croyant sera amené devant son Seigneur, le Très-Haut, le Jour de la Résurrection. Allah posera sur lui Son voile de lumière et lui fera reconnaître ses fautes en lui disant : ‘Reconnais-tu tes fautes ?’ Il répondra : ‘Oui, mon Seigneur, je les reconnais.’ Allah dira : ‘Je les ai cachées pour toi dans ce monde, et aujourd’hui Je te les pardonne.’ Puis il recevra le livre de ses bonnes actions. Quant aux mécréants et aux hypocrites, il y aura une annonce publique devant toute la création : ‘Ceux-là ont menti au sujet d’Allah.’ ” »
chapter||
hadith|2769a,b|
hadith|2769c|
hadith|2769d|Rapporté par Abdullah b. K’ab رضي الله عنه, qui était le guide de Ka’b après qu’il ait perdu la vue, et le plus savant de son peuple, ayant mémorisé de nombreux hadiths des Compagnons du Messager d’Allah ﷺ : Il dit : « J’ai entendu mon père, Ka’b b. Malik رضي الله عنه, qui faisait partie des trois dont le repentir fut accepté par Allah. Il raconta qu’il n’avait jamais manqué une expédition avec le Messager d’Allah ﷺ, sauf deux. » (Le reste du hadith est le même, et dans une autre version, il est précisé que le Messager d’Allah ﷺ partit en expédition avec plus de dix mille personnes, ce qui ne pouvait pas être enregistré dans le registre du recensement)
chapter||
hadith|2770a|
hadith|2770b|
hadith|2770c|Rapporté par Aïsha رضي الله عنها : Lorsque les gens commencèrent à parler de moi, le Messager d’Allah ﷺ se leva pour faire un discours. Il récita la shahada, loua Allah comme il se doit, puis dit : « Donnez-moi un conseil au sujet de ceux qui ont porté de fausses accusations contre ma famille. Par Allah, je ne connais aucun mal chez les miens, ni chez l’homme concerné. Il n’est jamais entré chez moi en mon absence, et quand j’étais présente, il était là aussi. » Le reste du hadith est similaire, mais avec ce détail : le Prophète ﷺ interrogea ma servante, qui dit : « Par Allah, je ne connais aucun défaut chez elle, si ce n’est qu’elle s’endort parfois et qu’une chèvre mange la pâte. » Certains compagnons la pressèrent de dire la vérité devant le Prophète ﷺ, mais elle répondit : « Gloire à Allah ! Je la connais aussi bien qu’un bijoutier connaît l’or pur. » Quand l’homme accusé apprit la rumeur, il dit : « Gloire à Allah ! Par Allah, je n’ai jamais dévoilé une femme. » Aïsha رضي الله عنها ajouta : « Il est tombé en martyr dans la voie d’Allah. » Dans ce hadith, il est précisé que parmi les calomniateurs figuraient Mistah, Hamna et Hassan. Quant à l’hypocrite ‘Abdullah b. Ubayy, il fut le principal instigateur
chapter||
hadith|2771|Rapporté par Anas رضي الله عنه : Un homme fut accusé de fornication avec la servante du Messager d’Allah ﷺ. Le Prophète ﷺ dit alors à Ali رضي الله عنه : « Va et tranche-lui la tête. » Ali le trouva dans un puits, en train de se rafraîchir. Il lui dit : « Sors de là. » Quand il le fit sortir, il constata qu’il n’avait même plus d’organe sexuel. Ali s’abstint alors de le tuer et rapporta cela au Prophète ﷺ, en disant : « Ô Messager d’Allah, il n’a même plus d’organe sexuel. »
book||
chapter||
hadith|2772|Rapporté par Zaid b. Arqam رضي الله عنه : Nous étions en voyage avec le Messager d’Allah ﷺ et nous avons rencontré beaucoup de difficultés. ‘Abdullah b. Ubayy dit à ses compagnons : « Ne donnez rien à ceux qui sont avec le Messager d’Allah ﷺ jusqu’à ce qu’ils l’abandonnent. » Zubair précisa qu’il y a deux façons de réciter ce passage. Il ajouta : « Lorsque nous reviendrons à Médine, le plus honorable en chassera le plus humble. » Je rapportai cela au Prophète ﷺ, qui envoya quelqu’un interroger ‘Abdullah b. Ubayy. Celui-ci jura qu’il n’avait rien dit et accusa Zaid d’avoir menti. J’étais très troublé jusqu’à ce qu’Allah fasse descendre le verset : « Quand les hypocrites viennent à toi... » (63:1). Le Prophète ﷺ les appela alors à demander pardon, mais ils détournèrent la tête comme s’ils étaient des morceaux de bois plantés dans un mur. Pourtant, ils étaient beaux d’apparence
hadith|2773a|
hadith|2773b|Rapporté par Jabir b. ‘Abdullah رضي الله عنه : Le Messager d’Allah ﷺ se rendit sur la tombe de ‘Abdullah b. Ubayy alors qu’on venait de l’y déposer. La suite du hadith est la même
hadith|2774a|
hadith|2774b|Rapporté par ‘Abdullah رضي الله عنه, selon la même chaîne de transmetteurs, avec ce détail supplémentaire : « Ensuite, il cessa de prier pour eux (les hypocrites). »
hadith|2775a|
hadith|2775b|Ce hadith a été rapporté par Abdullah à travers une autre chaîne de transmetteurs
hadith|2776a|
hadith|2776b|Rapporté par Shu'ba : Ce hadith a été rapporté par Shu'ba avec la même chaîne de transmetteurs
hadith|2777|Rapporté par Abu Sa'id Khudri : Du vivant du Messager d’Allah ﷺ, les hypocrites agissaient ainsi : lorsque le Messager d’Allah ﷺ partait pour une bataille, ils restaient en arrière et se réjouissaient d’être restés à la maison, contrairement au Messager d’Allah ﷺ. Et quand le Messager d’Allah ﷺ revenait, ils présentaient des excuses, juraient et espéraient que les gens les féliciteraient pour des actes qu’ils n’avaient pas accomplis. C’est à ce moment-là que ce verset fut révélé : « Ne pense pas que ceux qui se réjouissent de ce qu’ils ont fait, et qui aiment être loués pour ce qu’ils n’ont pas fait, soient à l’abri du châtiment ; un châtiment douloureux les attend. » (sourate 3, verset)
hadith|2778|Rapporté par Humaid b. 'Abd al-Rahman b. 'Auf : Marwan dit à Rafi', son chambellan, d’aller voir Ibn 'Abbas et de lui demander : « Si chacun de nous est puni pour s’être réjoui de ses actes et pour avoir été loué pour ce qu’il n’a pas fait, alors personne ne sera sauvé du châtiment. » Ibn 'Abbas répondit : « Pourquoi t’intéresses-tu à ce verset ? En réalité, il a été révélé à propos des gens du Livre. » Puis Ibn 'Abbas récita ce verset : « Quand Allah prit l’engagement de ceux à qui le Livre avait été donné : “Vous l’expliquerez aux gens et ne le cacherez pas.” » (sourate 3, verset 187), puis il récita aussi : « Ne pense pas que ceux qui se réjouissent de ce qu’ils ont fait et aiment être loués pour ce qu’ils n’ont pas fait… » (sourate 3, verset 188). Ibn 'Abbas ajouta : Le Messager d’Allah ﷺ leur demanda quelque chose, mais ils le cachèrent et lui dirent autre chose. Ensuite, ils sortirent en pensant qu’ils lui avaient répondu comme il le voulait, et ils étaient satisfaits d’avoir caché la vérité
hadith|2779a|
hadith|2779b|Rapporté par Qais b. 'Ubad : Nous avons demandé à 'Ammar : « Le fait d’avoir combattu aux côtés d’Ali lors de la bataille de Siffin, était-ce ton propre choix, ou as-tu reçu des indications du Messager d’Allah ﷺ ? Peut-on se tromper dans son jugement personnel, ou est-ce à cause d’un engagement que le Messager d’Allah ﷺ aurait pris avec toi ? » Il répondit : « Ce n’était pas à cause d’un engagement particulier du Messager d’Allah ﷺ avec nous, il n’a rien fait de différent avec nous par rapport aux autres. » Il ajouta que le Messager d’Allah ﷺ avait dit : « Dans ma communauté… » Et je pense que Hudhayfa m’a rapporté, et selon Ghundar, il a dit : « Dans ma communauté, il y aura douze hypocrites qui n’entreront pas au Paradis et n’en sentiront même pas l’odeur, sauf si un chameau passe par le chas d’une aiguille. Un ulcère (dubaila) suffira à les tourmenter : une sorte de flamme de feu apparaîtra sur leurs épaules et sortira de leur poitrine. »
hadith|2779c|Rapporté par Abu Tufail : Il y eut un différend entre Hudhayfa et un homme du groupe d’Aqaba, comme cela arrive entre les gens. Il dit : « Je t’adjure par Allah de me dire combien ils étaient à Aqaba. » Les gens dirent à Hudhayfa de répondre puisqu’il avait été interrogé. On nous a informés qu’ils étaient quatorze. Si tu es compté parmi eux, cela ferait quinze. Par Allah, douze d’entre eux étaient les ennemis d’Allah et de Son Messager ﷺ dans ce monde. Les trois autres dirent comme excuse : « Nous n’avons pas entendu l’annonce du Messager d’Allah ﷺ et nous ne savions pas ce que les autres voulaient, car le Prophète ﷺ était dans une atmosphère très chaude. » Le Prophète ﷺ dit alors : « Il y a peu d’eau à la prochaine étape. Que personne ne me devance. » Mais il trouva des gens qui l’avaient devancé, et il les maudit ce jour-là
hadith|2780a|
hadith|2780b|Rapporté par Jabir b. Abdullah : Le Messager d’Allah ﷺ a dit : « Celui qui gravit cette colline de Murar… » Le reste du hadith est le même, mais avec cette différence que c’était un Bédouin qui cherchait sa chose perdue
hadith|2781|Rapporté par Anas b. Malik : Il y avait parmi nous un homme du clan de Bani Najjar qui récitait la sourate al-Baqarah et la sourate Al-i-'Imran, et il écrivait pour le Messager d’Allah ﷺ. Il s’est rebellé et a rejoint les gens du Livre. Ils lui accordèrent beaucoup d’importance et dirent : « C’est lui qui écrivait pour Muhammad. » Ils étaient très contents de lui. Le temps passa, puis Allah causa sa mort. Ils creusèrent une tombe et l’y enterrèrent, mais ils découvrirent avec surprise que la terre l’avait rejeté à la surface. Ils creusèrent une autre tombe et l’y enterrèrent à nouveau, mais la terre le rejeta encore. Ils recommencèrent une troisième fois, mais la terre le rejeta encore à la surface. Finalement, ils le laissèrent sans l’enterrer
hadith|2782|Rapporté par Jabir : Le Messager d’Allah ﷺ revenait d’un voyage et, alors qu’il approchait de Médine, un vent violent souffla au point que la montagne semblait secouée. Le Messager d’Allah ﷺ dit : « Ce vent souffle peut-être à cause de la mort d’un hypocrite. » Et lorsqu’il arriva à Médine, un hypocrite bien connu venait effectivement de mourir
hadith|2783|Rapporté par Iyas d’après son père : Nous sommes allés avec le Messager d’Allah ﷺ rendre visite à un homme qui avait de la fièvre. Quand j’ai posé la main sur lui, j’ai dit : « Par Allah, je n’ai jamais vu quelqu’un avec une telle fièvre jusqu’à aujourd’hui. » Le Messager d’Allah ﷺ se tourna alors vers ses compagnons et dit : « Voulez-vous que je vous parle d’une fièvre encore plus forte que celle-ci, que deux personnes subiront le Jour de la Résurrection ? » Et il s’agissait de deux hypocrites montés sur un chameau, tournant le dos aux musulmans
hadith|2784a|
hadith|2784b|Rapporté par Ibn Umar : Le Messager d’Allah ﷺ a dit quelque chose de similaire, mais avec ces mots : « Parfois, elle trouve un chemin dans un troupeau, puis dans un autre. »
book||
chapter||
hadith|2785|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Le Jour du Jugement, une personne corpulente sera amenée, mais elle ne pèsera même pas autant qu’un moustique aux yeux d’Allah. » Puis il récita : « Nous ne leur accorderons aucune importance le Jour de la Résurrection. » (sourate 18, verset)
hadith|2786a|
hadith|2786b|Rapporté par Mansur : Ce hadith a été rapporté par Mansur avec la même chaîne de transmetteurs (et les mots sont) : Un savant juif vint voir le Messager d’Allah ﷺ. Le reste du hadith est le même, sauf qu’il n’est pas mentionné « ensuite Il les secouera ». Mais il y a cette précision : « J’ai vu le Messager d’Allah ﷺ sourire au point que ses dents de devant étaient visibles, confirmant les propos du savant juif ; puis le Messager d’Allah ﷺ récita le verset : “Ils n’ont pas estimé Allah à Sa juste valeur.” » (sourate 39, verset)
hadith|2786c|Rapporté par Abdullah : Un homme parmi les gens du Livre vint voir le Messager d’Allah ﷺ et dit : « Abu al-Qasim, vraiment, Allah porte les cieux sur un doigt, la terre sur un autre, les arbres et la terre humide sur un autre, et toute la création sur un autre doigt, puis Il dira : “Je suis le Roi, Je suis le Roi.” » Le narrateur ajouta : « J’ai vu le Messager d’Allah ﷺ sourire au point que ses dents de devant étaient visibles, puis il récita le verset : “Ils n’ont pas estimé la puissance d’Allah à sa juste valeur.” » (sourate 39, verset)
hadith|2786d|Rapporté par A'mash : Ce hadith a été rapporté par A'mash avec la même chaîne de transmetteurs mais avec une légère variation dans les mots
hadith|2787|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Allah, le Très-Haut et Glorieux, saisira la Terre dans Sa poigne le Jour du Jugement, enroulera le ciel dans Sa main droite et dira : “Je suis le Seigneur ; où sont les souverains du monde ?” »
hadith|2788a|
hadith|2788b|Rapporté par Abdullah b. Miqsam : Il a vu Abdullah b. Umar rapporter que le Messager d’Allah ﷺ a dit : « Allah, le Très-Haut et Glorieux, prendra dans Sa main les cieux et la terre et dira : “Je suis Allah.” » Puis Il serrera Ses doigts et les ouvrira (en disant) : « Je suis votre Seigneur. » J’ai vu la chaire trembler en dessous, comme si quelque chose vibrait. J’ai eu si peur que je me suis dit : « Elle pourrait tomber avec le Messager d’Allah ﷺ dessus. »
hadith|2788c|Rapporté par Abdullah b. Miqsam d’après 'Abdullah b. 'Umar : J’ai vu le Messager d’Allah ﷺ sur la chaire, disant que le Seigneur Tout-Puissant, le Très-Haut et Glorieux, saisira les cieux et la terre dans Sa main. Le reste du hadith est le même
chapter||
hadith|2789|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a pris mes mains et a dit : « Allah, le Très-Haut et Glorieux, a créé l’argile le samedi, les montagnes le dimanche, les arbres le lundi, les choses nécessitant du travail le mardi, la lumière le mercredi, les animaux le jeudi, et Adam (paix sur lui) après le 'Asr le vendredi, la dernière création à la dernière heure du vendredi, c’est-à-dire entre l’après-midi et la nuit. » Ce hadith est aussi rapporté par une autre chaîne de transmetteurs
chapter||
hadith|2790|Rapporté par Sahl b. Sa'd : Le Messager d’Allah ﷺ a dit : « Les gens seront rassemblés le Jour de la Résurrection sur une plaine blanche, légèrement teintée de rouge, comme un pain blanc sans aucune marque pour distinguer qui que ce soit. »
hadith|2791|Rapporté par Aïcha رضي الله عنها : J’ai demandé au Messager d’Allah ﷺ au sujet de ces paroles d’Allah, le Très-Haut et Glorieux : « Le jour où la terre sera changée en une autre terre, et les cieux aussi seront changés » (14:48). J’ai demandé : « Où seront les gens ce jour-là ? » Il a répondu : « Ils seront sur le Sirat. »
chapter||
hadith|2792|Rapporté par Abu Sa'id al-Khudri : Le Messager d’Allah ﷺ a dit : « Le Jour de la Résurrection, la terre deviendra comme un seul pain, et le Tout-Puissant la tournera dans Sa main comme l’un d’entre vous retourne un pain pendant un voyage. Ce sera un festin offert en l’honneur des gens du Paradis. » Il a aussi raconté qu’un homme parmi les Juifs est venu et a dit : « Abu al-Qasim, que le Seigneur Miséricordieux soit satisfait de toi ! Puis-je t’informer du festin offert aux gens du Paradis le Jour de la Résurrection ? » Il a répondu : « Vas-y, bien sûr. » L’homme a dit : « La terre deviendra un seul pain. » Alors le Messager d’Allah ﷺ nous a regardés et a souri jusqu’à ce que l’on voie ses molaires. Puis il a dit : « Voulez-vous que je vous dise avec quoi ils l’assaisonneront ? » Il a répondu : « Oui, bien sûr. » Il a dit : « L’assaisonnement sera du balim et du poisson. » Les Compagnons du Prophète ﷺ ont demandé : « Qu’est-ce que le balim ? » Il a répondu : « Un bœuf et un poisson dont le foie sera si grand que soixante-dix mille personnes pourront en manger. »
hadith|2793|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Si dix savants parmi les Juifs me suivaient, il ne resterait aucun Juif sur la surface de la terre qui n’embrasserait pas l’islam. »
chapter||
hadith|2794a|
hadith|2794b|Rapporté par Abdullah : Je marchais avec le Messager d’Allah ﷺ dans un champ de Médine. Le reste du hadith est le même, avec une légère différence dans les mots
hadith|2794c|Rapporté par Abdullah : Le Messager d’Allah ﷺ était allongé contre un arbre dans le jardin. Le reste du hadith est le même, avec une légère variation dans les mots
hadith|2795a|
hadith|2795b|Rapporté par Khabbab (par une autre chaîne) : À l’époque préislamique, je travaillais comme forgeron. J’ai fait un travail pour ‘As b. Wa’il et je suis allé le voir pour recevoir le paiement de mon salaire
chapter||
hadith|2796|Rapporté par Anas b. Malik : Abu Jahl a dit : « Ô Allah, s’il dit la vérité, alors fais pleuvoir sur nous une pluie de pierres du ciel ou inflige-nous un terrible châtiment. » C’est à cette occasion que ce verset a été révélé : « Allah ne les châtiera pas tant que tu es parmi eux. Et Allah ne les châtiera pas tant qu’ils demandent pardon. Et pourquoi Allah ne les châtierait-Il pas alors qu’ils empêchent les gens d’accéder à la Mosquée sacrée… » (8:34) jusqu’à la fin du verset
chapter||
hadith|2797|Rapporté par Abu Huraira رضي الله عنه : Abu Jahl demanda aux gens si Muhammad posait son visage au sol devant eux. On lui répondit : « Oui. » Il dit : « Par Lat et 'Uzza, si je le vois faire cela, j’écraserai son cou ou je salirai son visage de poussière. » Il s’approcha du Messager d’Allah ﷺ alors qu’il priait, voulant lui marcher sur le cou, mais il recula soudain, repoussant quelque chose de ses mains. On lui demanda : « Que t’arrive-t-il ? » Il répondit : « Il y a entre moi et lui un fossé de feu, de peur et d’ailes. » Le Messager d’Allah ﷺ dit alors : « S’il s’était approché de moi, les anges l’auraient mis en pièces. » Puis Allah, le Très-Haut, révéla ce verset : « Non, l’homme devient insolent parce qu’il se croit autosuffisant. Mais vers ton Seigneur est le retour. As-tu vu celui qui interdit à un serviteur de prier ? S’il est sur la bonne voie ou ordonne la piété ? S’il dément et tourne le dos ? Ne sait-il pas qu’Allah voit ? Non, s’il ne cesse pas, Nous le saisirons par le toupet, un toupet menteur et pécheur. Qu’il appelle donc son assemblée : Nous appellerons les gardiens de l’Enfer. Non ! N’obéis pas à cet homme… » (Sourate Al-‘Alaq, 6-19). (Après cela, la prosternation fut prescrite)
chapter||
hadith|2798a|
